Номер заказа;Мат. основы;Цвет основы;Материал комп.;D;G;H;L;Жесткость пружины, Н/мм;Нагрузка, кг;Твердость по Шору A;Наличие, шт;Цена, руб. с НДС
A00005.1450200150828;Натуральный каучук;Черный;Сталь;20;M8;15;28;112;13-17;45°;2563;192,52
A00005.16000800803;Натуральный каучук;Черный;Сталь;8;M3;8;6;24;3-8;60°;97;152,32
A00005.16001001004;Натуральный каучук;Черный;Сталь;10;M4;10;12;35;3-10;60°;496;97,22
A00005.1600100100410;Натуральный каучук;Черный;Сталь;10;M4;10;10;35;3-10;60°;938;97,22
A00005.16001001504;Натуральный каучук;Черный;Сталь;10;M4;15;10;50;6-10;60°;1354;103,71
A00005.1600150080410;Натуральный каучук;Черный;Сталь;15;M4;8;10;130;10-18;60°;100;73,75
A00005.16001501004;Натуральный каучук;Черный;Сталь;15;M4;10;12;122;12-18;60°;427;109,38
A00005.16001501504;Натуральный каучук;Черный;Сталь;15;M4;15;12;59;9-18;60°;2168;110,19
A00005.1600150150410;Натуральный каучук;Черный;Сталь;15;M4;15;10;59;9-18;60°;431;110,2
A00005.16001502004;Натуральный каучук;Черный;Сталь;15;M4;20;12;40;10-18;60°;866;125,59
A00005.16002000806;Натуральный каучук;Черный;Сталь;20;M6;8;18;725;20-58;60°;1275;110,2
A00005.16002001006;Натуральный каучук;Черный;Сталь;20;M6;10;18;300;20-31;60°;2328;125,59
A00005.16002001506;Натуральный каучук;Черный;Сталь;20;M6;15;18;200;25-30;60°;7406;106,95
A00005.1600200150823;Натуральный каучук;Черный;Сталь;20;M8;15;23;200;25-30;60°;428;213,9
A00005.16002002006;Натуральный каучук;Черный;Сталь;20;M6;20;18;133;25-34;60°;5793;107,55
A00005.16002002506;Натуральный каучук;Черный;Сталь;20;M6;25;18;90;27-28;60°;7414;129,64
A00005.1600200300618;Натуральный каучук;Черный;Сталь;20;M6;30;18;51;20-35;60°;402;147,5
A00005.16002501006;Натуральный каучук;Черный;Сталь;25;M6;10;18;800;25-82;60°;1114;153,3
A00005.16002501506;Натуральный каучук;Черный;Сталь;25;M6;15;18;294;33-45;60°;2439;144,43
A00005.16002502006;Натуральный каучук;Черный;Сталь;25;M6;20;18;200;33-51;60°;Под заказ;153,65
A00005.16002502506;Натуральный каучук;Черный;Сталь;25;M6;25;18;94;28-33;60°;1091;162,86
A00005.16002503006;Натуральный каучук;Черный;Сталь;25;M6;30;18;70;28-41;60°;27;172,08
A00005.16003001508;Натуральный каучук;Черный;Сталь;30;M8;15;23;587;40-90;60°;4078;172,08
A00005.16003002008;Натуральный каучук;Черный;Сталь;30;M8;20;23;318;40-81;60°;Под заказ;222,82
A00005.16003002508;Натуральный каучук;Черный;Сталь;30;M8;25;23;183;40-55;60°;1050;196,66
A00005.16003003008;Натуральный каучук;Черный;Сталь;30;M8;30;23;150;50-61;60°;5722;202,81
A00005.16003004008;Натуральный каучук;Черный;Сталь;30;M8;40;23;77;36-50;60°;1865;238,85
A00005.16004001508;Натуральный каучук;Черный;Сталь;40;M8;15;23;1250;191;60°;332;310,15
A00005.16004002008;Натуральный каучук;Черный;Сталь;40;M8;20;23;565;48-144;60°;3812;245,83
A00005.1600400250823;Натуральный каучук;Черный;Сталь;40;M8;25;23;320;48;60°;284;276,56
A00005.16004003005;Натуральный каучук;Черный;Сталь;40;M5;30;23;300;60-122;60°;Под заказ;288,76
A00005.16004003008;Натуральный каучук;Черный;Сталь;40;M8;30;23;300;60-122;60°;53;276,56
A00005.16004004008;Натуральный каучук;Черный;Сталь;40;M8;40;23;189;72-96;60°;2695;307,29
A00005.16005001510;Натуральный каучук;Черный;Сталь;50;M10;15;28;1850;283;60°;123;401,08
A00005.16005002010;Натуральный каучук;Черный;Сталь;50;M10;20;28;1300;56-331;60°;3209;307,29
