Категория;URL товара;Бренд;Путь;Фото основные;Фото дополнительные;Применение HTML;Номер заказа;D;H;Сила сцепления, кг;Наличие, шт;Цена, руб. с НДС;Форма;Исполнение;D2;H1;L;D1;T;Отступ от железных стенок;Глубина фрезерования;D3;B;H2;L1;Размер;Количество крепежных отверстий;A;S;SW;Цвет комп.;Сила сцепления при макс. H2, кг;Крут. момент завинч. макс., Нм;Описание
K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/catalog/magnity_postoyannye/k0548_magnity_diskovye_ferritovye_ekranirovannye/;Kipp;Главная > Каталог > Промышленная фурнитура > Магниты постоянные > K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/upload/iblock/287/k0548_magnity_diskovye.jpg, https://alterv.ru/upload/iblock/141/k0548_magnity_ustanovka.jpg;https://alterv.ru/upload/iblock/3fa/Z09064_nn_ru.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul>";K0548.01;10 ±0,15;4,5;0,41;1;310,1;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul></span>"
K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/catalog/magnity_postoyannye/k0548_magnity_diskovye_ferritovye_ekranirovannye/;Kipp;Главная > Каталог > Промышленная фурнитура > Магниты постоянные > K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/upload/iblock/287/k0548_magnity_diskovye.jpg, https://alterv.ru/upload/iblock/141/k0548_magnity_ustanovka.jpg;https://alterv.ru/upload/iblock/3fa/Z09064_nn_ru.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul>";K0548.02;13 ±0,15;4,5;1,02;Под заказ;337,88;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul></span>"
K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/catalog/magnity_postoyannye/k0548_magnity_diskovye_ferritovye_ekranirovannye/;Kipp;Главная > Каталог > Промышленная фурнитура > Магниты постоянные > K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/upload/iblock/287/k0548_magnity_diskovye.jpg, https://alterv.ru/upload/iblock/141/k0548_magnity_ustanovka.jpg;https://alterv.ru/upload/iblock/3fa/Z09064_nn_ru.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul>";K0548.03;16 ±0,15;4,5;1,84;Под заказ;402,67;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul></span>"
K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/catalog/magnity_postoyannye/k0548_magnity_diskovye_ferritovye_ekranirovannye/;Kipp;Главная > Каталог > Промышленная фурнитура > Магниты постоянные > K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/upload/iblock/287/k0548_magnity_diskovye.jpg, https://alterv.ru/upload/iblock/141/k0548_magnity_ustanovka.jpg;https://alterv.ru/upload/iblock/3fa/Z09064_nn_ru.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul>";K0548.04;20 ±0,15;6;3,06;Под заказ;485,98;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul></span>"
K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/catalog/magnity_postoyannye/k0548_magnity_diskovye_ferritovye_ekranirovannye/;Kipp;Главная > Каталог > Промышленная фурнитура > Магниты постоянные > K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/upload/iblock/287/k0548_magnity_diskovye.jpg, https://alterv.ru/upload/iblock/141/k0548_magnity_ustanovka.jpg;https://alterv.ru/upload/iblock/3fa/Z09064_nn_ru.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul>";K0548.05;25 ±0,15;7;4,08;Под заказ;536,89;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul></span>"
K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/catalog/magnity_postoyannye/k0548_magnity_diskovye_ferritovye_ekranirovannye/;Kipp;Главная > Каталог > Промышленная фурнитура > Магниты постоянные > K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/upload/iblock/287/k0548_magnity_diskovye.jpg, https://alterv.ru/upload/iblock/141/k0548_magnity_ustanovka.jpg;https://alterv.ru/upload/iblock/3fa/Z09064_nn_ru.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul>";K0548.06;32 ±0,2;7;8,16;Под заказ;573,93;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul></span>"
K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/catalog/magnity_postoyannye/k0548_magnity_diskovye_ferritovye_ekranirovannye/;Kipp;Главная > Каталог > Промышленная фурнитура > Магниты постоянные > K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/upload/iblock/287/k0548_magnity_diskovye.jpg, https://alterv.ru/upload/iblock/141/k0548_magnity_ustanovka.jpg;https://alterv.ru/upload/iblock/3fa/Z09064_nn_ru.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul>";K0548.07;40 ±0,2;8;12,75;Под заказ;782,19;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul></span>"
K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/catalog/magnity_postoyannye/k0548_magnity_diskovye_ferritovye_ekranirovannye/;Kipp;Главная > Каталог > Промышленная фурнитура > Магниты постоянные > K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/upload/iblock/287/k0548_magnity_diskovye.jpg, https://alterv.ru/upload/iblock/141/k0548_magnity_ustanovka.jpg;https://alterv.ru/upload/iblock/3fa/Z09064_nn_ru.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul>";K0548.08;50 ±0,2;10;22,43;Под заказ;990,48;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul></span>"
K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/catalog/magnity_postoyannye/k0548_magnity_diskovye_ferritovye_ekranirovannye/;Kipp;Главная > Каталог > Промышленная фурнитура > Магниты постоянные > K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/upload/iblock/287/k0548_magnity_diskovye.jpg, https://alterv.ru/upload/iblock/141/k0548_magnity_ustanovka.jpg;https://alterv.ru/upload/iblock/3fa/Z09064_nn_ru.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul>";K0548.09;63 ±0,2;14;35,69;Под заказ;1726,4;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul></span>"
K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/catalog/magnity_postoyannye/k0548_magnity_diskovye_ferritovye_ekranirovannye/;Kipp;Главная > Каталог > Промышленная фурнитура > Магниты постоянные > K0548 Магниты ферритовые экранированные удерживающие;https://alterv.ru/upload/iblock/287/k0548_magnity_diskovye.jpg, https://alterv.ru/upload/iblock/141/k0548_magnity_ustanovka.jpg;https://alterv.ru/upload/iblock/3fa/Z09064_nn_ru.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul>";K0548.10;80 ±0,25;18;61,18;Под заказ;3401,88;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали.</li>
	<li>Магнитный сердечник из твердого феррита.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Удерживающие магниты обладают только одной удерживающей поверхностью.</li>
	<li>Удерживающие магниты помогают ограничить воздействие магнитного поля, чтобы предотвратить нежелательное намагничивание всей детали, контактирующей с удерживающим магнитом, или других окружающих машинных элементов.</li>
	<li>Температура эксплуатации: до +200°C.</li>
	<li>Удерживающие магниты можно устанавливать методами запрессовки или вклеивания в посадочные отверстия.</li>
	<li>Рекомендуется всегда содержать рабочую поверхность полюса в чистоте и регулярно очищать ее при необходимости.</li>
	<li>У магнитов K0548.10 неизбежны волосные трещины на поверхности сцепления магнита, которые не сказываются на функции удерживающего магнита.</li>
</ul></span>"
