Категория;URL товара;Фото основные;Фото дополнительные;Применение HTML;Номер заказа;Исполнение;Тип;B3;D;D1;D2;L1;L2;L3;L4;T;Наличие, шт;Цена, руб. с НДС;D3;H;D7;H2;M;D4;A;D6;L;H1;Мат. основы;Цвет основы;D5;K;B;R;Количество спиц;Размеры ручки;Форма;Материал комп.;D8;Подходящая установочная шайба;A1;Цвет крышки;Размер;H3;Цвет;SW;Поверхность;V;V1;V2;G;Описание
Категория;URL товара;Фото основные;Фото дополнительные;Применение HTML;Номер заказа;Исполнение;Тип;B3;D;D1;D2;L1;L2;L3;L4;T;Наличие, шт;Цена, руб. с НДС;D3;H;D7;H2;M;D4;A;D6;L;H1;Мат. основы;Цвет основы;D5;K;B;R;Количество спиц;Размеры ручки;Форма;Материал комп.;D8;Подходящая установочная шайба;A1;Цвет крышки;Размер;H3;Цвет;SW;Поверхность;V;V1;V2;G;"<span style=""font-family: 'Open Sans', sans-serif;"">Применение HTML</span>"
A51301 Маховики с двумя спицами и откидной вращающейся ручкой;https://alterv.ru/catalog/makhoviki_plastikovye/a51301_makhoviki_s_dvumya_spitsami_i_otkidnoy_vrashchayushcheysya_ruchkoy/;https://alterv.ru/upload/iblock/000/b6g2f9ij5n5w4pmji6oyl21lnj250kjp/a51301_makhoviki_s_dvumya_spitsami.png, https://alterv.ru/upload/iblock/4b7/x3iofhgxozr2funnzugul1p20efvz4pv/a51301_makhoviki_bez_zaglushki.png, https://alterv.ru/upload/iblock/b17/1becobu29mh0s4fs67zar96s1j09i123/a51301_makhoviki_s_zaglushkoy.png;https://alterv.ru/upload/iblock/b97/csunhm41uzc35au6diec5x8716hpj0a9/a51301_makhoviki_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основа из полиамида PA 66.</li>
	<li>Втулка из стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа матового черного цвета.</li>
	<li>Заглушка серебристого цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для станков с ЧПУ, для ручного привода (например фартуков), для оборудования, задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul>";A51301.01008010;Без заглушки;Со шпоночным пазом;3;25;80;10;16;50;34;18;11,4;241;1279,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основа из полиамида PA 66.</li>
	<li>Втулка из стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа матового черного цвета.</li>
	<li>Заглушка серебристого цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для станков с ЧПУ, для ручного привода (например фартуков), для оборудования, задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul></span>"
A51301 Маховики с двумя спицами и откидной вращающейся ручкой;https://alterv.ru/catalog/makhoviki_plastikovye/a51301_makhoviki_s_dvumya_spitsami_i_otkidnoy_vrashchayushcheysya_ruchkoy/;https://alterv.ru/upload/iblock/000/b6g2f9ij5n5w4pmji6oyl21lnj250kjp/a51301_makhoviki_s_dvumya_spitsami.png, https://alterv.ru/upload/iblock/4b7/x3iofhgxozr2funnzugul1p20efvz4pv/a51301_makhoviki_bez_zaglushki.png, https://alterv.ru/upload/iblock/b17/1becobu29mh0s4fs67zar96s1j09i123/a51301_makhoviki_s_zaglushkoy.png;https://alterv.ru/upload/iblock/b97/csunhm41uzc35au6diec5x8716hpj0a9/a51301_makhoviki_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основа из полиамида PA 66.</li>
	<li>Втулка из стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа матового черного цвета.</li>
	<li>Заглушка серебристого цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для станков с ЧПУ, для ручного привода (например фартуков), для оборудования, задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul>";A51301.01010012;Без заглушки;Со шпоночным пазом;4;25;100;12;18;50;38;21;13,8;Под заказ;1526,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основа из полиамида PA 66.</li>
	<li>Втулка из стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа матового черного цвета.</li>
	<li>Заглушка серебристого цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для станков с ЧПУ, для ручного привода (например фартуков), для оборудования, задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul></span>"
A51301 Маховики с двумя спицами и откидной вращающейся ручкой;https://alterv.ru/catalog/makhoviki_plastikovye/a51301_makhoviki_s_dvumya_spitsami_i_otkidnoy_vrashchayushcheysya_ruchkoy/;https://alterv.ru/upload/iblock/000/b6g2f9ij5n5w4pmji6oyl21lnj250kjp/a51301_makhoviki_s_dvumya_spitsami.png, https://alterv.ru/upload/iblock/4b7/x3iofhgxozr2funnzugul1p20efvz4pv/a51301_makhoviki_bez_zaglushki.png, https://alterv.ru/upload/iblock/b17/1becobu29mh0s4fs67zar96s1j09i123/a51301_makhoviki_s_zaglushkoy.png;https://alterv.ru/upload/iblock/b97/csunhm41uzc35au6diec5x8716hpj0a9/a51301_makhoviki_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основа из полиамида PA 66.</li>
	<li>Втулка из стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа матового черного цвета.</li>
	<li>Заглушка серебристого цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для станков с ЧПУ, для ручного привода (например фартуков), для оборудования, задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul>";A51301.01012512;Без заглушки;Со шпоночным пазом;4;30;125;12;18;65;40;22;13,8;103;2096,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основа из полиамида PA 66.</li>
	<li>Втулка из стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа матового черного цвета.</li>
	<li>Заглушка серебристого цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для станков с ЧПУ, для ручного привода (например фартуков), для оборудования, задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul></span>"
A51301 Маховики с двумя спицами и откидной вращающейся ручкой;https://alterv.ru/catalog/makhoviki_plastikovye/a51301_makhoviki_s_dvumya_spitsami_i_otkidnoy_vrashchayushcheysya_ruchkoy/;https://alterv.ru/upload/iblock/000/b6g2f9ij5n5w4pmji6oyl21lnj250kjp/a51301_makhoviki_s_dvumya_spitsami.png, https://alterv.ru/upload/iblock/4b7/x3iofhgxozr2funnzugul1p20efvz4pv/a51301_makhoviki_bez_zaglushki.png, https://alterv.ru/upload/iblock/b17/1becobu29mh0s4fs67zar96s1j09i123/a51301_makhoviki_s_zaglushkoy.png;https://alterv.ru/upload/iblock/b97/csunhm41uzc35au6diec5x8716hpj0a9/a51301_makhoviki_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основа из полиамида PA 66.</li>
	<li>Втулка из стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа матового черного цвета.</li>
	<li>Заглушка серебристого цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для станков с ЧПУ, для ручного привода (например фартуков), для оборудования, задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul>";A51301.01016016;С заглушкой;Со шпоночным пазом;5;40;160;16;26,3;80;50;25;18,3;81;2413,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основа из полиамида PA 66.</li>
	<li>Втулка из стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа матового черного цвета.</li>
	<li>Заглушка серебристого цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для станков с ЧПУ, для ручного привода (например фартуков), для оборудования, задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul></span>"
A51301 Маховики с двумя спицами и откидной вращающейся ручкой;https://alterv.ru/catalog/makhoviki_plastikovye/a51301_makhoviki_s_dvumya_spitsami_i_otkidnoy_vrashchayushcheysya_ruchkoy/;https://alterv.ru/upload/iblock/000/b6g2f9ij5n5w4pmji6oyl21lnj250kjp/a51301_makhoviki_s_dvumya_spitsami.png, https://alterv.ru/upload/iblock/4b7/x3iofhgxozr2funnzugul1p20efvz4pv/a51301_makhoviki_bez_zaglushki.png, https://alterv.ru/upload/iblock/b17/1becobu29mh0s4fs67zar96s1j09i123/a51301_makhoviki_s_zaglushkoy.png;https://alterv.ru/upload/iblock/b97/csunhm41uzc35au6diec5x8716hpj0a9/a51301_makhoviki_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основа из полиамида PA 66.</li>
	<li>Втулка из стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа матового черного цвета.</li>
	<li>Заглушка серебристого цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для станков с ЧПУ, для ручного привода (например фартуков), для оборудования, задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul>";A51301.01020018;С заглушкой;Со шпоночным пазом;6;50;200;18;34,5;100;63;30;20,8;9;2771,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основа из полиамида PA 66.</li>
	<li>Втулка из стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа матового черного цвета.</li>
	<li>Заглушка серебристого цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для станков с ЧПУ, для ручного привода (например фартуков), для оборудования, задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul></span>"
A51301 Маховики с двумя спицами и откидной вращающейся ручкой;https://alterv.ru/catalog/makhoviki_plastikovye/a51301_makhoviki_s_dvumya_spitsami_i_otkidnoy_vrashchayushcheysya_ruchkoy/;https://alterv.ru/upload/iblock/000/b6g2f9ij5n5w4pmji6oyl21lnj250kjp/a51301_makhoviki_s_dvumya_spitsami.png, https://alterv.ru/upload/iblock/4b7/x3iofhgxozr2funnzugul1p20efvz4pv/a51301_makhoviki_bez_zaglushki.png, https://alterv.ru/upload/iblock/b17/1becobu29mh0s4fs67zar96s1j09i123/a51301_makhoviki_s_zaglushkoy.png;https://alterv.ru/upload/iblock/b97/csunhm41uzc35au6diec5x8716hpj0a9/a51301_makhoviki_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основа из полиамида PA 66.</li>
	<li>Втулка из стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа матового черного цвета.</li>
	<li>Заглушка серебристого цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для станков с ЧПУ, для ручного привода (например фартуков), для оборудования, задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul>";A51301.01020020;С заглушкой;С установочным штифтом M8;-;50;200;20;34,5;80;63;30;-;42;2771,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основа из полиамида PA 66.</li>
	<li>Втулка из стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа матового черного цвета.</li>
	<li>Заглушка серебристого цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для станков с ЧПУ, для ручного привода (например фартуков), для оборудования, задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul></span>"
A51302 Маховики с двумя спицами из алюминия и откидной ручкой;https://alterv.ru/catalog/makhoviki_alyuminievye/a51302_makhoviki_s_dvumya_spitsami_iz_alyuminiya_i_otkidnoy_ruchkoy/;https://alterv.ru/upload/iblock/89a/gink2diqxk7wn1rw52qjl8lypdklj16y/a51302_makhoviki_s_dvumya_spitsami.png;https://alterv.ru/upload/iblock/f47/bomreq98i7sbvd4u343m7wbqe96uenv0/a51302_makhoviki_s_dvumya_spitsami_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из алюминиевого сплава.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Алюминиевый сплав окрашен в матовый черный цвет.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для ручного привода (например фартуков), оборудования и станков (в том числе токарных и фрезерных), а также задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul>";A51302.01110012;;;4;;100;12;;50;38;19;13,8;18;1284,84;27;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из алюминиевого сплава.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Алюминиевый сплав окрашен в матовый черный цвет.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для ручного привода (например фартуков), оборудования и станков (в том числе токарных и фрезерных), а также задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul></span>"
A51302 Маховики с двумя спицами из алюминия и откидной ручкой;https://alterv.ru/catalog/makhoviki_alyuminievye/a51302_makhoviki_s_dvumya_spitsami_iz_alyuminiya_i_otkidnoy_ruchkoy/;https://alterv.ru/upload/iblock/89a/gink2diqxk7wn1rw52qjl8lypdklj16y/a51302_makhoviki_s_dvumya_spitsami.png;https://alterv.ru/upload/iblock/f47/bomreq98i7sbvd4u343m7wbqe96uenv0/a51302_makhoviki_s_dvumya_spitsami_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из алюминиевого сплава.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Алюминиевый сплав окрашен в матовый черный цвет.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для ручного привода (например фартуков), оборудования и станков (в том числе токарных и фрезерных), а также задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul>";A51302.01112512;;;4;;125;12;;63;40;22;13,8;1;1410,81;30;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из алюминиевого сплава.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Алюминиевый сплав окрашен в матовый черный цвет.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для ручного привода (например фартуков), оборудования и станков (в том числе токарных и фрезерных), а также задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul></span>"
A51302 Маховики с двумя спицами из алюминия и откидной ручкой;https://alterv.ru/catalog/makhoviki_alyuminievye/a51302_makhoviki_s_dvumya_spitsami_iz_alyuminiya_i_otkidnoy_ruchkoy/;https://alterv.ru/upload/iblock/89a/gink2diqxk7wn1rw52qjl8lypdklj16y/a51302_makhoviki_s_dvumya_spitsami.png;https://alterv.ru/upload/iblock/f47/bomreq98i7sbvd4u343m7wbqe96uenv0/a51302_makhoviki_s_dvumya_spitsami_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из алюминиевого сплава.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Алюминиевый сплав окрашен в матовый черный цвет.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для ручного привода (например фартуков), оборудования и станков (в том числе токарных и фрезерных), а также задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul>";A51302.01116016;;;5;;160;16;;80;47;24;18,3;Под заказ;1960,01;36;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из алюминиевого сплава.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Алюминиевый сплав окрашен в матовый черный цвет.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Маховики хорошо подходят для ручного привода (например фартуков), оборудования и станков (в том числе токарных и фрезерных), а также задвижек и клапанов.</li>
	<li>Благодаря спицевой конструкции, данные маховики позволяют производить точную регулировку.</li>
	<li>Для обеспечения безопасности оператора, данные маховики имеют складную ручку.</li>
	<li>Аналог: JB/T7273.10-94 (JB3717.12-85).</li>
</ul></span>"
