Категория;URL товара;Бренд;Путь;Фото основные;Фото дополнительные;Применение HTML;Номер заказа;Цвет основы;Цвет комп.;A;B;D;H;L;Допустимая нагрузка, кг;Наличие, шт;Цена, руб. с НДС;Форма;Исполнение;L1;T;Подходящее монтажное отверстие;B1;Поверхность;C;H1;S;Описание
K0211 Ручки трубчатые из алюминия и усиленного пластика;https://alterv.ru/catalog/ruchki_reylingovye_trubchatye/k0211_k0211/;Kipp;Главная > Каталог > Промышленная фурнитура > Ручки П-образные > Ручки рейлинговые трубчатые > K0211 Ручки трубчатые из алюминия и усиленного пластика;https://alterv.ru/upload/iblock/dbd/1y9leqds6e9if1rruapmpda0yewmv2mr/k0211_ruchki_trubchatye.png;https://alterv.ru/upload/iblock/078/Z06927_Rohrgriff_Tubular_handle.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Рукоятка из алюминия EN AW-6060.</li>
	<li>Опоры из полиамида, усиленного стекловолокном.</li>
	<li>Втулки резьбовые из латуни.</li>
	<li>Зажимные втулки из нержавеющей стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Алюминий анодированный в черный цвет.</li>
	<li>Полиамид черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Монтаж с обратной стороны.</li>
	<li>Данные ручки хорошо подходят для промышленного оборудования.</li>
</ul>";K0211.1500083;Черный;Черный;500;36;M8;65;520;101,97;Под заказ;11820,94;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0211_ручки_трубчатые_из_алюминия_и_усиленного_пластика_table_1.png"" style=""width: 714px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Рукоятка из алюминия EN AW-6060.</li>
	<li>Опоры из полиамида, усиленного стекловолокном.</li>
	<li>Втулки резьбовые из латуни.</li>
	<li>Зажимные втулки из нержавеющей стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Алюминий анодированный в черный цвет.</li>
	<li>Полиамид черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Монтаж с обратной стороны.</li>
	<li>Данные ручки хорошо подходят для промышленного оборудования.</li>
</ul></span>"
K0238 Ручки врезные из алюминия;https://alterv.ru/catalog/ruchki_vreznye_nakladnye_otkidnye_rukoyatki/k0238_k0238/;Kipp;Главная > Каталог > Промышленная фурнитура > Ручки П-образные > Ручки врезные накладные откидные рукоятки > K0238 Ручки врезные из алюминия;https://alterv.ru/upload/iblock/321/v6cq8uwado43iif825nhh54r2s6gqzhb/k0238_ruchki_vreznye.png, https://alterv.ru/upload/iblock/7ee/veqy385lfsnpsq7v97kogwwddu127v9z/k0238_ruchki_vreznye_bez_otverstiy.png;https://alterv.ru/upload/iblock/2c0/43yo36enu0n3uy5icsc551bfau6jkcoi/k0238_ruchki_vreznye_chertezh.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основание из алюминиевого профиля.</li>
	<li>Боковые накладки из полиамида.</li>
	<li>Профили из резины.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Ручки вставные, без отверстий.</li>
	<li>Алюминий анодированный в серебристый цвет.</li>
	<li>Резина черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Чашечные ручки можно использовать без винтового крепления для пластин толщиной 1-2,5 мм.</li>
	<li>Два резиновых профиля обеспечивают полную безопасность во время установки.</li>
	<li>Два поперечных паза, установленных под углом 90° также могут понадобиться при монтаже дополнительных деталей.</li>
	<li>Данные ручки хорошо подходят для промышленного оборудования и корпусов приборов.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по монтажу:</span></h2>
<ul>
	<li>После установки нижнего резинового профиля необходимо нажать на оба боковых колпачка.</li>
	<li>Рукоятка помещается под 45° над нижним краем монтажного отверстия и удерживается стенкой корпуса.</li>
	<li>Второй резиновый профиль устанавливается в верхний паз.</li>
</ul>";K0238.10013;Натуральный;;;;;90;100;50,99;Под заказ;3915,63;A;Вставное;115;19,5;104x73;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0238_ручки_врезные_из_алюминия_table_1.png"" style=""width: 1000px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Основание из алюминиевого профиля.</li>
	<li>Боковые накладки из полиамида.</li>
	<li>Профили из резины.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Ручки вставные, без отверстий.</li>
	<li>Алюминий анодированный в серебристый цвет.</li>
	<li>Резина черного цвета.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Чашечные ручки можно использовать без винтового крепления для пластин толщиной 1-2,5 мм.</li>
	<li>Два резиновых профиля обеспечивают полную безопасность во время установки.</li>
	<li>Два поперечных паза, установленных под углом 90° также могут понадобиться при монтаже дополнительных деталей.</li>
	<li>Данные ручки хорошо подходят для промышленного оборудования и корпусов приборов.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по монтажу:</span></h2>
<ul>
	<li>После установки нижнего резинового профиля необходимо нажать на оба боковых колпачка.</li>
	<li>Рукоятка помещается под 45° над нижним краем монтажного отверстия и удерживается стенкой корпуса.</li>
	<li>Второй резиновый профиль устанавливается в верхний паз.</li>
</ul></span>"
K0244 Ручки бугельные усиленные из пластика угловые;https://alterv.ru/catalog/ruchki_skoby_bugelnye_rukoyatki/k0244_ruchki_bugelnye_usilennye_iz_plastika_uglovye/;Kipp;Главная > Каталог > Промышленная фурнитура > Ручки П-образные > Ручки скобы бугельные рукоятки > K0244 Ручки бугельные усиленные из пластика угловые;https://alterv.ru/upload/iblock/c25/c25068d8b766109fc4c06a7bb24729b1.jpg, https://alterv.ru/upload/iblock/f87/f87e5f70f510115ab31c0549f4c69c26.jpg;https://alterv.ru/upload/iblock/df3/Z06975_nn_ru_www.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Термопласт PA, усиленный стеклянными шариками.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Черные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Ручки с защитой от защемления.</li>
	<li>Крепление при помощи болтов M8 с шестигранной или цилиндрической головкой.</li>
	<li>Данные ручки хорошо подходят для двухстворчатых распашных дверей , откидных створок и алюминиевых профилей, а также промышленного оборудования.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание для заказа:</span></h2>
<ul>
	<li>Защитные колпачки не входят в комплект поставки.</li>
</ul>";K0244.198081;;;198;100;8,8;80;236;101,97;Под заказ;6141,88;B;Ручка;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0244_ручки_бугельные_усиленные_из_пластика_угловые_table_1.png"" style=""width: 685px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Термопласт PA, усиленный стеклянными шариками.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Черные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Ручки с защитой от защемления.</li>
	<li>Крепление при помощи болтов M8 с шестигранной или цилиндрической головкой.</li>
	<li>Данные ручки хорошо подходят для двухстворчатых распашных дверей , откидных створок и алюминиевых профилей, а также промышленного оборудования.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание для заказа:</span></h2>
<ul>
	<li>Защитные колпачки не входят в комплект поставки.</li>
</ul></span>"
K1086 Ручки бугельные из нержавеющей стали;https://alterv.ru/catalog/ruchki_skoby_bugelnye_rukoyatki/k1086_ruchki_bugelnye_iz_nerzhaveyushchey_stali/;Kipp;Главная > Каталог > Промышленная фурнитура > Ручки П-образные > Ручки скобы бугельные рукоятки > K1086 Ручки бугельные из нержавеющей стали;https://alterv.ru/upload/iblock/75d/k1086_ruchki_bugelnye.jpg;https://alterv.ru/upload/iblock/eaf/ZK1086_Buegelgriff_Edelstahl_Pull_handle_stainless_steel.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Нержавеющая сталь 1.4301.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Полублестящие гладко отшлифованные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Монтаж с обратной стороны.</li>
	<li>Данные ручки хорошо подходят для промышленного оборудования.</li>
</ul>";K1086.1000805;;;100;12;M5;39;108;101,97;Под заказ;2693,73;;;;10;;8;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k1086_ручки_бугельные_из_нержавеющей_стали_table_1.png"" style=""width: 592px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Нержавеющая сталь 1.4301.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Полублестящие гладко отшлифованные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Монтаж с обратной стороны.</li>
	<li>Данные ручки хорошо подходят для промышленного оборудования.</li>
</ul></span>"
K1086 Ручки бугельные из нержавеющей стали;https://alterv.ru/catalog/ruchki_skoby_bugelnye_rukoyatki/k1086_ruchki_bugelnye_iz_nerzhaveyushchey_stali/;Kipp;Главная > Каталог > Промышленная фурнитура > Ручки П-образные > Ручки скобы бугельные рукоятки > K1086 Ручки бугельные из нержавеющей стали;https://alterv.ru/upload/iblock/75d/k1086_ruchki_bugelnye.jpg;https://alterv.ru/upload/iblock/eaf/ZK1086_Buegelgriff_Edelstahl_Pull_handle_stainless_steel.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Нержавеющая сталь 1.4301.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Полублестящие гладко отшлифованные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Монтаж с обратной стороны.</li>
	<li>Данные ручки хорошо подходят для промышленного оборудования.</li>
</ul>";K1086.1001005;;;100;15;M5;39;110;101,97;Под заказ;2647,46;;;;10;;10;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k1086_ручки_бугельные_из_нержавеющей_стали_table_1.png"" style=""width: 592px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Нержавеющая сталь 1.4301.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Полублестящие гладко отшлифованные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Монтаж с обратной стороны.</li>
	<li>Данные ручки хорошо подходят для промышленного оборудования.</li>
</ul></span>"
K1086 Ручки бугельные из нержавеющей стали;https://alterv.ru/catalog/ruchki_skoby_bugelnye_rukoyatki/k1086_ruchki_bugelnye_iz_nerzhaveyushchey_stali/;Kipp;Главная > Каталог > Промышленная фурнитура > Ручки П-образные > Ручки скобы бугельные рукоятки > K1086 Ручки бугельные из нержавеющей стали;https://alterv.ru/upload/iblock/75d/k1086_ruchki_bugelnye.jpg;https://alterv.ru/upload/iblock/eaf/ZK1086_Buegelgriff_Edelstahl_Pull_handle_stainless_steel.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Нержавеющая сталь 1.4301.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Полублестящие гладко отшлифованные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Монтаж с обратной стороны.</li>
	<li>Данные ручки хорошо подходят для промышленного оборудования.</li>
</ul>";K1086.1200805;;;120;12;M5;39;128;101,97;Под заказ;2781,67;;;;10;;8;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k1086_ручки_бугельные_из_нержавеющей_стали_table_1.png"" style=""width: 592px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Нержавеющая сталь 1.4301.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Полублестящие гладко отшлифованные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Монтаж с обратной стороны.</li>
	<li>Данные ручки хорошо подходят для промышленного оборудования.</li>
</ul></span>"
K1086 Ручки бугельные из нержавеющей стали;https://alterv.ru/catalog/ruchki_skoby_bugelnye_rukoyatki/k1086_ruchki_bugelnye_iz_nerzhaveyushchey_stali/;Kipp;Главная > Каталог > Промышленная фурнитура > Ручки П-образные > Ручки скобы бугельные рукоятки > K1086 Ручки бугельные из нержавеющей стали;https://alterv.ru/upload/iblock/75d/k1086_ruchki_bugelnye.jpg;https://alterv.ru/upload/iblock/eaf/ZK1086_Buegelgriff_Edelstahl_Pull_handle_stainless_steel.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Нержавеющая сталь 1.4301.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Полублестящие гладко отшлифованные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Монтаж с обратной стороны.</li>
	<li>Данные ручки хорошо подходят для промышленного оборудования.</li>
</ul>";K1086.1501005;;;150;15;M5;39;160;101,97;Под заказ;3003,82;;;;10;;10;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k1086_ручки_бугельные_из_нержавеющей_стали_table_1.png"" style=""width: 592px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Нержавеющая сталь 1.4301.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Полублестящие гладко отшлифованные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Монтаж с обратной стороны.</li>
	<li>Данные ручки хорошо подходят для промышленного оборудования.</li>
</ul></span>"
K1086 Ручки бугельные из нержавеющей стали;https://alterv.ru/catalog/ruchki_skoby_bugelnye_rukoyatki/k1086_ruchki_bugelnye_iz_nerzhaveyushchey_stali/;Kipp;Главная > Каталог > Промышленная фурнитура > Ручки П-образные > Ручки скобы бугельные рукоятки > K1086 Ручки бугельные из нержавеющей стали;https://alterv.ru/upload/iblock/75d/k1086_ruchki_bugelnye.jpg;https://alterv.ru/upload/iblock/eaf/ZK1086_Buegelgriff_Edelstahl_Pull_handle_stainless_steel.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Нержавеющая сталь 1.4301.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Полублестящие гладко отшлифованные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Монтаж с обратной стороны.</li>
	<li>Данные ручки хорошо подходят для промышленного оборудования.</li>
</ul>";K1086.1801005;;;180;15;M5;39;190;101,97;Под заказ;3244,51;;;;10;;10;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k1086_ручки_бугельные_из_нержавеющей_стали_table_1.png"" style=""width: 592px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Нержавеющая сталь 1.4301.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Полублестящие гладко отшлифованные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Монтаж с обратной стороны.</li>
	<li>Данные ручки хорошо подходят для промышленного оборудования.</li>
</ul></span>"
K1634 Ручки бугельные овального сечения угловые из алюминия;https://alterv.ru/catalog/ruchki_skoby_bugelnye_rukoyatki/k1634_ruchki_bugelnye_ovalnogo_secheniya_uglovye_iz_alyuminiya/;Kipp;Главная > Каталог > Промышленная фурнитура > Ручки П-образные > Ручки скобы бугельные рукоятки > K1634 Ручки бугельные овального сечения угловые из алюминия;https://alterv.ru/upload/iblock/876/jqx0l3cjb3nle1ud1p8awb7qxit0nj9y/k1634_ruchki_bugelnye_uglovye.png;https://alterv.ru/upload/iblock/14d/m7d6k22ex8lqknhewzudbhagabg7zqjw/k1634_ruchki_bugelnye_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Алюминий EN AW-6063.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Поверхность без покрытия.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные ручки особенно прочные и хорошо подходят для дверей и промышленного оборудования.</li>
	<li>Скошенные бугельные ручки оптимально подходят в условиях ограниченного пространства.</li>
	<li>Монтаж производится с обратной стороны.</li>
	<li>На ручки после монтажа можно нанести лакокрасочное покрытие.</li>
</ul>";K1634.16008;;;160;25;M8;55;177;100;Под заказ;3258,39;;;;12;;17;Без покрытия;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k1634_ручки_бугельные_овального_сечения_угловые_из_алюминия_table_1.png"" style=""width: 692px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Алюминий EN AW-6063.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Поверхность без покрытия.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные ручки особенно прочные и хорошо подходят для дверей и промышленного оборудования.</li>
	<li>Скошенные бугельные ручки оптимально подходят в условиях ограниченного пространства.</li>
	<li>Монтаж производится с обратной стороны.</li>
	<li>На ручки после монтажа можно нанести лакокрасочное покрытие.</li>
</ul></span>"
K1642 Ручки бугельные из нержавеющей стали;https://alterv.ru/catalog/ruchki_skoby_bugelnye_rukoyatki/k1642_ruchki_bugelnye_iz_nerzhaveyushchey_stali/;Kipp;Главная > Каталог > Промышленная фурнитура > Ручки П-образные > Ручки скобы бугельные рукоятки > K1642 Ручки бугельные из нержавеющей стали;https://alterv.ru/upload/iblock/8d9/b31fa0dezyn4ukklpussk6d2i9zy4hgh/k1642_ruchki_bugelnye.png, https://alterv.ru/upload/iblock/a67/qqh3ng4y0tomcovj197uwb7zan3qyet8/k1642_ruchki_bugelnye_a.png;https://alterv.ru/upload/iblock/98c/yk99ozgpfcqmmu49cp6visiy7gbwef3e/k1642_ruchki_bugelnye_a_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основа литая из нержавеющей стали 1.4404.</li>
	<li>Болты, гайки и подкладные шайбы из нержавеющей стали 1.4404.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Подвергнуты дробеструйной обработке и электролитически полированные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Монтаж с лицевой стороны.</li>
	<li>Ручки хорошо подходят для крышек, ограждений и кожухов.</li>
	<li>Ручки применяются в машиностроении, производстве промышленного оборудования, станкостроении, мебельной промышленности, медицинской и реабилитационной технике.</li>
	<li>Обладают высокой прочностью на кручение.</li>
	<li>Благодаря закрытой гладкой конструкции ручки удобно чистить.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание для заказа:</span></h2>
<ul>
	<li>Крепежные болты, а также соответствующие подкладные шайбы и гайки входят в комплект поставки.</li>
</ul>";K1642.110005;;;100;17;M5;33;122;100;Под заказ;6008,2;A;Со сквозными отверстиями;;;;;;9,5;20;20;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k1642_ручки_бугельные_из_нержавеющей_стали_table_1.png"" style=""width: 877px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Основа литая из нержавеющей стали 1.4404.</li>
	<li>Болты, гайки и подкладные шайбы из нержавеющей стали 1.4404.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Подвергнуты дробеструйной обработке и электролитически полированные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Монтаж с лицевой стороны.</li>
	<li>Ручки хорошо подходят для крышек, ограждений и кожухов.</li>
	<li>Ручки применяются в машиностроении, производстве промышленного оборудования, станкостроении, мебельной промышленности, медицинской и реабилитационной технике.</li>
	<li>Обладают высокой прочностью на кручение.</li>
	<li>Благодаря закрытой гладкой конструкции ручки удобно чистить.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание для заказа:</span></h2>
<ul>
	<li>Крепежные болты, а также соответствующие подкладные шайбы и гайки входят в комплект поставки.</li>
</ul></span>"
