Категория;URL товара;Фото основные;Фото дополнительные;Номер заказа;Цвет основы;Материал комп.;Поверхность комп.;A;A1;B;D;D1;D2;H;H1;S;FH, кг;F, кг;Наличие, шт;Цена, руб. с НДС;L;Размер;Количество зубьев;H2;H3;H4;SW;T;X;H5;R;Исполнение;B1;D3;A2;Мат. основы;Пов. основы;Ход зажима
A00360 Рычаги зажимные эксцентриковые с рукояткой из алюминия;https://alterv.ru/catalog/rychagi_zazhimnye_ekstsentrikovye/a00360_rychagi_zazhimnye_ekstsentrikovye_s_rukoyatkoy_iz_alyuminiya/;https://alterv.ru/upload/iblock/892/ttt21ss3oqh86ckqq6xo8oz1tjoflcdr/a00360_rychagi_zazhimnye.png, https://alterv.ru/upload/iblock/b36/f2l339e6k469z8wxke44o9veuqglusd1/a00360_rychagi_zazhimnye_vr.png, https://alterv.ru/upload/iblock/497/2k2nwova0dg8hnq7kglg6v3cy38cn84s/a00360_rychagi_zazhimnye_naruzhnaya.png, https://alterv.ru/upload/iblock/1fb/ry9sz1nj1gn17ysgoukn5tq1xnilix5z/a00360_rychagi_zazhimnye_sboku.png, https://alterv.ru/upload/iblock/ac0/s0acfrf0fpfw9txtsiex4swmwt724364/a00360_rychagi_zazhimnye_speredi.png;https://alterv.ru/upload/iblock/649/i88tdr45z4qx3b1v4x30k6hz3vcutvkt/a00360_rychagi_zazhimnye_chertezh.png, https://alterv.ru/upload/iblock/9a7/ffr8azihatyt95cvl62g76tphjw6vdwx/a00360_rychagi_zazhimnye_vnutrennyaa_chertezh.png, https://alterv.ru/upload/iblock/768/9va75yl11qcfczkzj1nhl866tg7xua9d/a00360_rychagi_zazhimnye_naruzhnaya_chertezh.png;A00360.11420300;Черный;Сталь;Оцинкованная;36,4;41,7;11,5;M3;12;6;8,7;13,2;1;9,18;152,96;48;794,34;;;;;;;;;;;;;;;;;;
A00360 Рычаги зажимные эксцентриковые с рукояткой из алюминия;https://alterv.ru/catalog/rychagi_zazhimnye_ekstsentrikovye/a00360_rychagi_zazhimnye_ekstsentrikovye_s_rukoyatkoy_iz_alyuminiya/;https://alterv.ru/upload/iblock/892/ttt21ss3oqh86ckqq6xo8oz1tjoflcdr/a00360_rychagi_zazhimnye.png, https://alterv.ru/upload/iblock/b36/f2l339e6k469z8wxke44o9veuqglusd1/a00360_rychagi_zazhimnye_vr.png, https://alterv.ru/upload/iblock/497/2k2nwova0dg8hnq7kglg6v3cy38cn84s/a00360_rychagi_zazhimnye_naruzhnaya.png, https://alterv.ru/upload/iblock/1fb/ry9sz1nj1gn17ysgoukn5tq1xnilix5z/a00360_rychagi_zazhimnye_sboku.png, https://alterv.ru/upload/iblock/ac0/s0acfrf0fpfw9txtsiex4swmwt724364/a00360_rychagi_zazhimnye_speredi.png;https://alterv.ru/upload/iblock/649/i88tdr45z4qx3b1v4x30k6hz3vcutvkt/a00360_rychagi_zazhimnye_chertezh.png, https://alterv.ru/upload/iblock/9a7/ffr8azihatyt95cvl62g76tphjw6vdwx/a00360_rychagi_zazhimnye_vnutrennyaa_chertezh.png, https://alterv.ru/upload/iblock/768/9va75yl11qcfczkzj1nhl866tg7xua9d/a00360_rychagi_zazhimnye_naruzhnaya_chertezh.png;A00360.11420400;Черный;Сталь;Оцинкованная;36,4;41,7;11,5;M4;12;6;8,7;13,2;1;9,18;152,96;38;794,34;;;;;;;;;;;;;;;;;;
A00360 Рычаги зажимные эксцентриковые с рукояткой из алюминия;https://alterv.ru/catalog/rychagi_zazhimnye_ekstsentrikovye/a00360_rychagi_zazhimnye_ekstsentrikovye_s_rukoyatkoy_iz_alyuminiya/;https://alterv.ru/upload/iblock/892/ttt21ss3oqh86ckqq6xo8oz1tjoflcdr/a00360_rychagi_zazhimnye.png, https://alterv.ru/upload/iblock/b36/f2l339e6k469z8wxke44o9veuqglusd1/a00360_rychagi_zazhimnye_vr.png, https://alterv.ru/upload/iblock/497/2k2nwova0dg8hnq7kglg6v3cy38cn84s/a00360_rychagi_zazhimnye_naruzhnaya.png, https://alterv.ru/upload/iblock/1fb/ry9sz1nj1gn17ysgoukn5tq1xnilix5z/a00360_rychagi_zazhimnye_sboku.png, https://alterv.ru/upload/iblock/ac0/s0acfrf0fpfw9txtsiex4swmwt724364/a00360_rychagi_zazhimnye_speredi.png;https://alterv.ru/upload/iblock/649/i88tdr45z4qx3b1v4x30k6hz3vcutvkt/a00360_rychagi_zazhimnye_chertezh.png, https://alterv.ru/upload/iblock/9a7/ffr8azihatyt95cvl62g76tphjw6vdwx/a00360_rychagi_zazhimnye_vnutrennyaa_chertezh.png, https://alterv.ru/upload/iblock/768/9va75yl11qcfczkzj1nhl866tg7xua9d/a00360_rychagi_zazhimnye_naruzhnaya_chertezh.png;A00360.11590400;Черный;Сталь;Оцинкованная;52;59;13;M4;15;8;11,9;17,8;1;10,2;254,93;50;833,92;;;;;;;;;;;;;;;;;;
A00360 Рычаги зажимные эксцентриковые с рукояткой из алюминия;https://alterv.ru/catalog/rychagi_zazhimnye_ekstsentrikovye/a00360_rychagi_zazhimnye_ekstsentrikovye_s_rukoyatkoy_iz_alyuminiya/;https://alterv.ru/upload/iblock/892/ttt21ss3oqh86ckqq6xo8oz1tjoflcdr/a00360_rychagi_zazhimnye.png, https://alterv.ru/upload/iblock/b36/f2l339e6k469z8wxke44o9veuqglusd1/a00360_rychagi_zazhimnye_vr.png, https://alterv.ru/upload/iblock/497/2k2nwova0dg8hnq7kglg6v3cy38cn84s/a00360_rychagi_zazhimnye_naruzhnaya.png, https://alterv.ru/upload/iblock/1fb/ry9sz1nj1gn17ysgoukn5tq1xnilix5z/a00360_rychagi_zazhimnye_sboku.png, https://alterv.ru/upload/iblock/ac0/s0acfrf0fpfw9txtsiex4swmwt724364/a00360_rychagi_zazhimnye_speredi.png;https://alterv.ru/upload/iblock/649/i88tdr45z4qx3b1v4x30k6hz3vcutvkt/a00360_rychagi_zazhimnye_chertezh.png, https://alterv.ru/upload/iblock/9a7/ffr8azihatyt95cvl62g76tphjw6vdwx/a00360_rychagi_zazhimnye_vnutrennyaa_chertezh.png, https://alterv.ru/upload/iblock/768/9va75yl11qcfczkzj1nhl866tg7xua9d/a00360_rychagi_zazhimnye_naruzhnaya_chertezh.png;A00360.11590500;Черный;Сталь;Оцинкованная;52;59;13;M5;15;8;11,9;17,8;1;10,2;254,93;Под заказ;833,92;;;;;;;;;;;;;;;;;;
A00360 Рычаги зажимные эксцентриковые с рукояткой из алюминия;https://alterv.ru/catalog/rychagi_zazhimnye_ekstsentrikovye/a00360_rychagi_zazhimnye_ekstsentrikovye_s_rukoyatkoy_iz_alyuminiya/;https://alterv.ru/upload/iblock/892/ttt21ss3oqh86ckqq6xo8oz1tjoflcdr/a00360_rychagi_zazhimnye.png, https://alterv.ru/upload/iblock/b36/f2l339e6k469z8wxke44o9veuqglusd1/a00360_rychagi_zazhimnye_vr.png, https://alterv.ru/upload/iblock/497/2k2nwova0dg8hnq7kglg6v3cy38cn84s/a00360_rychagi_zazhimnye_naruzhnaya.png, https://alterv.ru/upload/iblock/1fb/ry9sz1nj1gn17ysgoukn5tq1xnilix5z/a00360_rychagi_zazhimnye_sboku.png, https://alterv.ru/upload/iblock/ac0/s0acfrf0fpfw9txtsiex4swmwt724364/a00360_rychagi_zazhimnye_speredi.png;https://alterv.ru/upload/iblock/649/i88tdr45z4qx3b1v4x30k6hz3vcutvkt/a00360_rychagi_zazhimnye_chertezh.png, https://alterv.ru/upload/iblock/9a7/ffr8azihatyt95cvl62g76tphjw6vdwx/a00360_rychagi_zazhimnye_vnutrennyaa_chertezh.png, https://alterv.ru/upload/iblock/768/9va75yl11qcfczkzj1nhl866tg7xua9d/a00360_rychagi_zazhimnye_naruzhnaya_chertezh.png;A00360.11790500;Черный;Сталь;Оцинкованная;70,5;79;15;M5;18;9,1;14;21,7;1,2;12,24;407,89;40;878,79;;;;;;;;;;;;;;;;;;
A00360 Рычаги зажимные эксцентриковые с рукояткой из алюминия;https://alterv.ru/catalog/rychagi_zazhimnye_ekstsentrikovye/a00360_rychagi_zazhimnye_ekstsentrikovye_s_rukoyatkoy_iz_alyuminiya/;https://alterv.ru/upload/iblock/892/ttt21ss3oqh86ckqq6xo8oz1tjoflcdr/a00360_rychagi_zazhimnye.png, https://alterv.ru/upload/iblock/b36/f2l339e6k469z8wxke44o9veuqglusd1/a00360_rychagi_zazhimnye_vr.png, https://alterv.ru/upload/iblock/497/2k2nwova0dg8hnq7kglg6v3cy38cn84s/a00360_rychagi_zazhimnye_naruzhnaya.png, https://alterv.ru/upload/iblock/1fb/ry9sz1nj1gn17ysgoukn5tq1xnilix5z/a00360_rychagi_zazhimnye_sboku.png, https://alterv.ru/upload/iblock/ac0/s0acfrf0fpfw9txtsiex4swmwt724364/a00360_rychagi_zazhimnye_speredi.png;https://alterv.ru/upload/iblock/649/i88tdr45z4qx3b1v4x30k6hz3vcutvkt/a00360_rychagi_zazhimnye_chertezh.png, https://alterv.ru/upload/iblock/9a7/ffr8azihatyt95cvl62g76tphjw6vdwx/a00360_rychagi_zazhimnye_vnutrennyaa_chertezh.png, https://alterv.ru/upload/iblock/768/9va75yl11qcfczkzj1nhl866tg7xua9d/a00360_rychagi_zazhimnye_naruzhnaya_chertezh.png;A00360.11790600;Черный;Сталь;Оцинкованная;70,5;79;15;M6;18;9,1;14;21,7;1,2;12,24;407,89;Под заказ;878,79;;;;;;;;;;;;;;;;;;
A00360 Рычаги зажимные эксцентриковые с рукояткой из алюминия;https://alterv.ru/catalog/rychagi_zazhimnye_ekstsentrikovye/a00360_rychagi_zazhimnye_ekstsentrikovye_s_rukoyatkoy_iz_alyuminiya/;https://alterv.ru/upload/iblock/892/ttt21ss3oqh86ckqq6xo8oz1tjoflcdr/a00360_rychagi_zazhimnye.png, https://alterv.ru/upload/iblock/b36/f2l339e6k469z8wxke44o9veuqglusd1/a00360_rychagi_zazhimnye_vr.png, https://alterv.ru/upload/iblock/497/2k2nwova0dg8hnq7kglg6v3cy38cn84s/a00360_rychagi_zazhimnye_naruzhnaya.png, https://alterv.ru/upload/iblock/1fb/ry9sz1nj1gn17ysgoukn5tq1xnilix5z/a00360_rychagi_zazhimnye_sboku.png, https://alterv.ru/upload/iblock/ac0/s0acfrf0fpfw9txtsiex4swmwt724364/a00360_rychagi_zazhimnye_speredi.png;https://alterv.ru/upload/iblock/649/i88tdr45z4qx3b1v4x30k6hz3vcutvkt/a00360_rychagi_zazhimnye_chertezh.png, https://alterv.ru/upload/iblock/9a7/ffr8azihatyt95cvl62g76tphjw6vdwx/a00360_rychagi_zazhimnye_vnutrennyaa_chertezh.png, https://alterv.ru/upload/iblock/768/9va75yl11qcfczkzj1nhl866tg7xua9d/a00360_rychagi_zazhimnye_naruzhnaya_chertezh.png;A00360.111080800;Черный;Сталь;Оцинкованная;96;108;24;M8;26;11,2;18;28,8;1,5;35,69;815,77;101;960,6;;;;;;;;;;;;;;;;;;
A00360 Рычаги зажимные эксцентриковые с рукояткой из алюминия;https://alterv.ru/catalog/rychagi_zazhimnye_ekstsentrikovye/a00360_rychagi_zazhimnye_ekstsentrikovye_s_rukoyatkoy_iz_alyuminiya/;https://alterv.ru/upload/iblock/892/ttt21ss3oqh86ckqq6xo8oz1tjoflcdr/a00360_rychagi_zazhimnye.png, https://alterv.ru/upload/iblock/b36/f2l339e6k469z8wxke44o9veuqglusd1/a00360_rychagi_zazhimnye_vr.png, https://alterv.ru/upload/iblock/497/2k2nwova0dg8hnq7kglg6v3cy38cn84s/a00360_rychagi_zazhimnye_naruzhnaya.png, https://alterv.ru/upload/iblock/1fb/ry9sz1nj1gn17ysgoukn5tq1xnilix5z/a00360_rychagi_zazhimnye_sboku.png, https://alterv.ru/upload/iblock/ac0/s0acfrf0fpfw9txtsiex4swmwt724364/a00360_rychagi_zazhimnye_speredi.png;https://alterv.ru/upload/iblock/649/i88tdr45z4qx3b1v4x30k6hz3vcutvkt/a00360_rychagi_zazhimnye_chertezh.png, https://alterv.ru/upload/iblock/9a7/ffr8azihatyt95cvl62g76tphjw6vdwx/a00360_rychagi_zazhimnye_vnutrennyaa_chertezh.png, https://alterv.ru/upload/iblock/768/9va75yl11qcfczkzj1nhl866tg7xua9d/a00360_rychagi_zazhimnye_naruzhnaya_chertezh.png;A00360.13420300;Черный;Сталь;Черненная;36,4;41,7;11,5;M3;12;6;8,7;13,2;1;9,18;152,96;50;855,44;;;;;;;;;;;;;;;;;;
A00360 Рычаги зажимные эксцентриковые с рукояткой из алюминия;https://alterv.ru/catalog/rychagi_zazhimnye_ekstsentrikovye/a00360_rychagi_zazhimnye_ekstsentrikovye_s_rukoyatkoy_iz_alyuminiya/;https://alterv.ru/upload/iblock/892/ttt21ss3oqh86ckqq6xo8oz1tjoflcdr/a00360_rychagi_zazhimnye.png, https://alterv.ru/upload/iblock/b36/f2l339e6k469z8wxke44o9veuqglusd1/a00360_rychagi_zazhimnye_vr.png, https://alterv.ru/upload/iblock/497/2k2nwova0dg8hnq7kglg6v3cy38cn84s/a00360_rychagi_zazhimnye_naruzhnaya.png, https://alterv.ru/upload/iblock/1fb/ry9sz1nj1gn17ysgoukn5tq1xnilix5z/a00360_rychagi_zazhimnye_sboku.png, https://alterv.ru/upload/iblock/ac0/s0acfrf0fpfw9txtsiex4swmwt724364/a00360_rychagi_zazhimnye_speredi.png;https://alterv.ru/upload/iblock/649/i88tdr45z4qx3b1v4x30k6hz3vcutvkt/a00360_rychagi_zazhimnye_chertezh.png, https://alterv.ru/upload/iblock/9a7/ffr8azihatyt95cvl62g76tphjw6vdwx/a00360_rychagi_zazhimnye_vnutrennyaa_chertezh.png, https://alterv.ru/upload/iblock/768/9va75yl11qcfczkzj1nhl866tg7xua9d/a00360_rychagi_zazhimnye_naruzhnaya_chertezh.png;A00360.13420400;Черный;Сталь;Черненная;36,4;41,7;11,5;M4;12;6;8,7;13,2;1;9,18;152,96;50;855,44;;;;;;;;;;;;;;;;;;
A00360 Рычаги зажимные эксцентриковые с рукояткой из алюминия;https://alterv.ru/catalog/rychagi_zazhimnye_ekstsentrikovye/a00360_rychagi_zazhimnye_ekstsentrikovye_s_rukoyatkoy_iz_alyuminiya/;https://alterv.ru/upload/iblock/892/ttt21ss3oqh86ckqq6xo8oz1tjoflcdr/a00360_rychagi_zazhimnye.png, https://alterv.ru/upload/iblock/b36/f2l339e6k469z8wxke44o9veuqglusd1/a00360_rychagi_zazhimnye_vr.png, https://alterv.ru/upload/iblock/497/2k2nwova0dg8hnq7kglg6v3cy38cn84s/a00360_rychagi_zazhimnye_naruzhnaya.png, https://alterv.ru/upload/iblock/1fb/ry9sz1nj1gn17ysgoukn5tq1xnilix5z/a00360_rychagi_zazhimnye_sboku.png, https://alterv.ru/upload/iblock/ac0/s0acfrf0fpfw9txtsiex4swmwt724364/a00360_rychagi_zazhimnye_speredi.png;https://alterv.ru/upload/iblock/649/i88tdr45z4qx3b1v4x30k6hz3vcutvkt/a00360_rychagi_zazhimnye_chertezh.png, https://alterv.ru/upload/iblock/9a7/ffr8azihatyt95cvl62g76tphjw6vdwx/a00360_rychagi_zazhimnye_vnutrennyaa_chertezh.png, https://alterv.ru/upload/iblock/768/9va75yl11qcfczkzj1nhl866tg7xua9d/a00360_rychagi_zazhimnye_naruzhnaya_chertezh.png;A00360.13590400;Черный;Сталь;Черненная;52;59;13;M4;15;8;11,9;17,8;1;10,2;254,93;50;898,07;;;;;;;;;;;;;;;;;;
