Категория;URL товара;Бренд;Путь;Фото основные;Фото дополнительные;Применение HTML;Номер заказа;B;C1 макс.;D;D2 макс.;D4;D5;DK;G;H1;L3 мин.;L4 макс.;L5;R1S мин.;W;α;H;L1 мин.;L2 макс.;Статический коэффициент работоспособности, Н;Динамический коэффициент работоспособности, Н;Наличие, шт;Цена, руб. с НДС;A;D1;D2;E;E1;T;Материал;D3;L;L1;SW;T мин.;M1;R;S;Форма;Исполнение;D6;L3;L7;L2;L5 мин.;L6 макс.;Мат. основы;LA;F, кг;Вид резьбы;K;Част. вращ. макс., об/мин;B1;Материал комп.;L6;L1 макс.;Z1;Z2;A1;F;L4;Допустимая статическая растягивающая нагрузка кратковрем. макс., кг;Допустимая статическая растягивающая нагрузка долговрем. макс., кг;Допустимая поперечная нагрузка кратковрем. макс., кг;Допустимая поперечная нагрузка долговрем. макс., кг;Описание
A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/catalog/golovki_s_naruzhnoy_rezboy/a55502_golovki_sharnirnye_s_naruzhnoy_rezboy/;Алтервиа;Главная > Каталог > Промышленная фурнитура > Шарнирные соединения > Шарниры сферические > Головки шарнирные > Головки с наружной резьбой > A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/upload/iblock/00c/4r0mplb9fgq80066r51itzu1871naaj6/a55502_golovki_sharnirnye.png;https://alterv.ru/upload/iblock/093/qqwcegeg72wcbiemajwjwb2lqjk5zamm/a55502_golovki_sharnirnye_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul>";A55502.05;8;6;5;18;;;11,11;M5;;;;;0,3;;13˚;33;19;42;6000;5700;10;287,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a55502_головки_шарнирные_с_наружной_резьбой_table_1.png"" style=""width: 1491px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul></span>"
A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/catalog/golovki_s_naruzhnoy_rezboy/a55502_golovki_sharnirnye_s_naruzhnoy_rezboy/;Алтервиа;Главная > Каталог > Промышленная фурнитура > Шарнирные соединения > Шарниры сферические > Головки шарнирные > Головки с наружной резьбой > A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/upload/iblock/00c/4r0mplb9fgq80066r51itzu1871naaj6/a55502_golovki_sharnirnye.png;https://alterv.ru/upload/iblock/093/qqwcegeg72wcbiemajwjwb2lqjk5zamm/a55502_golovki_sharnirnye_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul>";A55502.06;9;6,75;6;20;;;12,7;M6;;;;;0,3;;13˚;36;21;46;7650;7200;10;297,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a55502_головки_шарнирные_с_наружной_резьбой_table_1.png"" style=""width: 1491px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul></span>"
A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/catalog/golovki_s_naruzhnoy_rezboy/a55502_golovki_sharnirnye_s_naruzhnoy_rezboy/;Алтервиа;Главная > Каталог > Промышленная фурнитура > Шарнирные соединения > Шарниры сферические > Головки шарнирные > Головки с наружной резьбой > A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/upload/iblock/00c/4r0mplb9fgq80066r51itzu1871naaj6/a55502_golovki_sharnirnye.png;https://alterv.ru/upload/iblock/093/qqwcegeg72wcbiemajwjwb2lqjk5zamm/a55502_golovki_sharnirnye_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul>";A55502.08;12;9;8;24;;;15,875;M8;;;;;0,3;;14˚;42;25;54;12900;11600;Под заказ;393,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a55502_головки_шарнирные_с_наружной_резьбой_table_1.png"" style=""width: 1491px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul></span>"
A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/catalog/golovki_s_naruzhnoy_rezboy/a55502_golovki_sharnirnye_s_naruzhnoy_rezboy/;Алтервиа;Главная > Каталог > Промышленная фурнитура > Шарнирные соединения > Шарниры сферические > Головки шарнирные > Головки с наружной резьбой > A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/upload/iblock/00c/4r0mplb9fgq80066r51itzu1871naaj6/a55502_golovki_sharnirnye.png;https://alterv.ru/upload/iblock/093/qqwcegeg72wcbiemajwjwb2lqjk5zamm/a55502_golovki_sharnirnye_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul>";A55502.10;14;10,5;10;28;;;19,05;M10;;;;;0,3;;13˚;48;28;62;18000;14500;10;524,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a55502_головки_шарнирные_с_наружной_резьбой_table_1.png"" style=""width: 1491px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul></span>"
A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/catalog/golovki_s_naruzhnoy_rezboy/a55502_golovki_sharnirnye_s_naruzhnoy_rezboy/;Алтервиа;Главная > Каталог > Промышленная фурнитура > Шарнирные соединения > Шарниры сферические > Головки шарнирные > Головки с наружной резьбой > A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/upload/iblock/00c/4r0mplb9fgq80066r51itzu1871naaj6/a55502_golovki_sharnirnye.png;https://alterv.ru/upload/iblock/093/qqwcegeg72wcbiemajwjwb2lqjk5zamm/a55502_golovki_sharnirnye_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul>";A55502.12;16;12;12;32;;;22,225;M12;;;;;0,3;;13˚;54;32;70;24000;17000;5;655,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a55502_головки_шарнирные_с_наружной_резьбой_table_1.png"" style=""width: 1491px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul></span>"
A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/catalog/golovki_s_naruzhnoy_rezboy/a55502_golovki_sharnirnye_s_naruzhnoy_rezboy/;Алтервиа;Главная > Каталог > Промышленная фурнитура > Шарнирные соединения > Шарниры сферические > Головки шарнирные > Головки с наружной резьбой > A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/upload/iblock/00c/4r0mplb9fgq80066r51itzu1871naaj6/a55502_golovki_sharnirnye.png;https://alterv.ru/upload/iblock/093/qqwcegeg72wcbiemajwjwb2lqjk5zamm/a55502_golovki_sharnirnye_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul>";A55502.14;19;13,5;14;36;;;25,4;M14x2;;;;;0,3;;16˚;60;36;78;31000;24000;10;906,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a55502_головки_шарнирные_с_наружной_резьбой_table_1.png"" style=""width: 1491px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul></span>"
A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/catalog/golovki_s_naruzhnoy_rezboy/a55502_golovki_sharnirnye_s_naruzhnoy_rezboy/;Алтервиа;Главная > Каталог > Промышленная фурнитура > Шарнирные соединения > Шарниры сферические > Головки шарнирные > Головки с наружной резьбой > A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/upload/iblock/00c/4r0mplb9fgq80066r51itzu1871naaj6/a55502_golovki_sharnirnye.png;https://alterv.ru/upload/iblock/093/qqwcegeg72wcbiemajwjwb2lqjk5zamm/a55502_golovki_sharnirnye_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul>";A55502.16;21;15;16;40;;;28,575;M16;;;;;0,3;;15˚;66;37;87;39000;28500;10;1189,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a55502_головки_шарнирные_с_наружной_резьбой_table_1.png"" style=""width: 1491px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul></span>"
A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/catalog/golovki_s_naruzhnoy_rezboy/a55502_golovki_sharnirnye_s_naruzhnoy_rezboy/;Алтервиа;Главная > Каталог > Промышленная фурнитура > Шарнирные соединения > Шарниры сферические > Головки шарнирные > Головки с наружной резьбой > A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/upload/iblock/00c/4r0mplb9fgq80066r51itzu1871naaj6/a55502_golovki_sharnirnye.png;https://alterv.ru/upload/iblock/093/qqwcegeg72wcbiemajwjwb2lqjk5zamm/a55502_golovki_sharnirnye_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul>";A55502.18;23;16,5;18;44;;;31,75;M18x1,5;;;;;0,3;;15˚;72;41;94;47500;42500;10;1511,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a55502_головки_шарнирные_с_наружной_резьбой_table_1.png"" style=""width: 1491px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul></span>"
A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/catalog/golovki_s_naruzhnoy_rezboy/a55502_golovki_sharnirnye_s_naruzhnoy_rezboy/;Алтервиа;Главная > Каталог > Промышленная фурнитура > Шарнирные соединения > Шарниры сферические > Головки шарнирные > Головки с наружной резьбой > A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/upload/iblock/00c/4r0mplb9fgq80066r51itzu1871naaj6/a55502_golovki_sharnirnye.png;https://alterv.ru/upload/iblock/093/qqwcegeg72wcbiemajwjwb2lqjk5zamm/a55502_golovki_sharnirnye_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul>";A55502.20;25;18;20;50;;;34,925;M20x1,5;;;;;0,3;;14˚;78;45;103;57000;42500;10;1813,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a55502_головки_шарнирные_с_наружной_резьбой_table_1.png"" style=""width: 1491px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul></span>"
A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/catalog/golovki_s_naruzhnoy_rezboy/a55502_golovki_sharnirnye_s_naruzhnoy_rezboy/;Алтервиа;Главная > Каталог > Промышленная фурнитура > Шарнирные соединения > Шарниры сферические > Головки шарнирные > Головки с наружной резьбой > A55502 Головки шарнирные с наружной резьбой;https://alterv.ru/upload/iblock/00c/4r0mplb9fgq80066r51itzu1871naaj6/a55502_golovki_sharnirnye.png;https://alterv.ru/upload/iblock/093/qqwcegeg72wcbiemajwjwb2lqjk5zamm/a55502_golovki_sharnirnye_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul>";A55502.22;28;20;22;54;;;38,1;M22x1,5;;;;;0,3;;15˚;84;48;111;68000;57000;10;2267,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a55502_головки_шарнирные_с_наружной_резьбой_table_1.png"" style=""width: 1491px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из углеродистой стали.</li>
	<li>Полусфера из подшипниковой стали.</li>
	<li>Вкладыш подшипника из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус оцинкованный.</li>
	<li>Тип резьбы: правый.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные шарнирные головки не нуждаются в техническом обслуживании.</li>
	<li>Шарнирные головки хорошо подходят для точилок.</li>
</ul></span>"
