Категория;URL товара;Фото основные;Фото дополнительные;Применение HTML;Номер заказа;D;D1;D2;L;L1;SW;Крут. момент завинч. макс., Нм;Давление макс., бар;Наличие, шт;Цена, руб. с НДС;H;Исполнение;B;L2;Форма;Количество крепежных болтов;H1;L3;Термометрическая шкала, °C / °F;S мин.;D3;D4;S;Количество крепежных отверстий;D5;D6;Материал;K;A;Мат. основы;Цвет;B1;H2;L4;Описание
Категория;URL товара;Фото основные;Фото дополнительные;Применение HTML;Номер заказа;D;D1;D2;L;L1;SW;Крут. момент завинч. макс., Нм;Давление макс., бар;Наличие, шт;Цена, руб. с НДС;H;Исполнение;B;L2;Форма;Количество крепежных болтов;H1;L3;Термометрическая шкала, °C / °F;S мин.;D3;D4;S;Количество крепежных отверстий;D5;D6;Материал;K;A;Мат. основы;Цвет;B1;H2;L4;"<span style=""font-family: 'Open Sans', sans-serif;"">Применение HTML</span>"
Категория;URL товара;Фото основные;Фото дополнительные;;Номер заказа;D;D1;D2;L;L1;SW;Крут. момент завинч. макс., Нм;Давление макс., бар;Наличие, шт;Цена, руб. с НДС;H;Исполнение;B;L2;Форма;Количество крепежных болтов;H1;L3;Термометрическая шкала, °C / °F;S мин.;D3;D4;S;Количество крепежных отверстий;D5;D6;Материал;K;A;Мат. основы;Цвет;B1;H2;L4;
K0246 Маслоуказатели резьбовые из алюминия со стеклом;https://alterv.ru/catalog/masloukazateli/k0246_masloukazateli_rezbovye_iz_alyuminiya_so_steklom/;https://alterv.ru/upload/iblock/6ee/6ee61fd2fe5c14e9f416bfff63c0ad55.png;https://alterv.ru/upload/iblock/6a7/Z28012_nn_ru.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Корпус и рефлектор из алюминия.</li>
	<li>Смотровое окошко из прозрачного натурального стекла.</li>
	<li>Внутреннее уплотнение Viton®.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Маслоуказатели плоские.</li>
	<li>Уплотнение безасбестовое.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Резьбовые маслоуказатели хорошо подходят для компрессоров, станков (в том числе и токарных) и гидравлических баков.</li>
	<li>Смотровое стекло термостабильное до температуры 150 °C.</li>
	<li>Высокое сопротивление давлению и теплостойкость.</li>
	<li>Использование природного стекла для смотрового окошка позволяет достичь оптимальной светопроницаемости и максимальной поверхностной твердости.</li>
</ul>";K0246.29012;29,5;G1/2;14;10;9;27;18;20;Под заказ;2105,92;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0246_маслоуказатели_резьбовые_из_алюминия_со_стеклом_table_1.png"" style=""width: 790px;""></p><span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Корпус и рефлектор из алюминия.</li>
	<li>Смотровое окошко из прозрачного натурального стекла.</li>
	<li>Внутреннее уплотнение Viton®.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Маслоуказатели плоские.</li>
	<li>Уплотнение безасбестовое.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Резьбовые маслоуказатели хорошо подходят для компрессоров, станков (в том числе и токарных) и гидравлических баков.</li>
	<li>Смотровое стекло термостабильное до температуры 150 °C.</li>
	<li>Высокое сопротивление давлению и теплостойкость.</li>
	<li>Использование природного стекла для смотрового окошка позволяет достичь оптимальной светопроницаемости и максимальной поверхностной твердости.</li>
</ul></span>"
K0246 Маслоуказатели резьбовые из алюминия со стеклом;https://alterv.ru/catalog/masloukazateli/k0246_masloukazateli_rezbovye_iz_alyuminiya_so_steklom/;https://alterv.ru/upload/iblock/6ee/6ee61fd2fe5c14e9f416bfff63c0ad55.png;https://alterv.ru/upload/iblock/6a7/Z28012_nn_ru.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Корпус и рефлектор из алюминия.</li>
	<li>Смотровое окошко из прозрачного натурального стекла.</li>
	<li>Внутреннее уплотнение Viton®.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Маслоуказатели плоские.</li>
	<li>Уплотнение безасбестовое.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Резьбовые маслоуказатели хорошо подходят для компрессоров, станков (в том числе и токарных) и гидравлических баков.</li>
	<li>Смотровое стекло термостабильное до температуры 150 °C.</li>
	<li>Высокое сопротивление давлению и теплостойкость.</li>
	<li>Использование природного стекла для смотрового окошка позволяет достичь оптимальной светопроницаемости и максимальной поверхностной твердости.</li>
</ul>";K0246.292015;29,5;M20x1,5;14;10;9;27;18;20;22;2105,92;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0246_маслоуказатели_резьбовые_из_алюминия_со_стеклом_table_1.png"" style=""width: 790px;""></p><span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Корпус и рефлектор из алюминия.</li>
	<li>Смотровое окошко из прозрачного натурального стекла.</li>
	<li>Внутреннее уплотнение Viton®.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Маслоуказатели плоские.</li>
	<li>Уплотнение безасбестовое.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Резьбовые маслоуказатели хорошо подходят для компрессоров, станков (в том числе и токарных) и гидравлических баков.</li>
	<li>Смотровое стекло термостабильное до температуры 150 °C.</li>
	<li>Высокое сопротивление давлению и теплостойкость.</li>
	<li>Использование природного стекла для смотрового окошка позволяет достичь оптимальной светопроницаемости и максимальной поверхностной твердости.</li>
</ul></span>"
K0246 Маслоуказатели резьбовые из алюминия со стеклом;https://alterv.ru/catalog/masloukazateli/k0246_masloukazateli_rezbovye_iz_alyuminiya_so_steklom/;https://alterv.ru/upload/iblock/6ee/6ee61fd2fe5c14e9f416bfff63c0ad55.png;https://alterv.ru/upload/iblock/6a7/Z28012_nn_ru.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Корпус и рефлектор из алюминия.</li>
	<li>Смотровое окошко из прозрачного натурального стекла.</li>
	<li>Внутреннее уплотнение Viton®.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Маслоуказатели плоские.</li>
	<li>Уплотнение безасбестовое.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Резьбовые маслоуказатели хорошо подходят для компрессоров, станков (в том числе и токарных) и гидравлических баков.</li>
	<li>Смотровое стекло термостабильное до температуры 150 °C.</li>
	<li>Высокое сопротивление давлению и теплостойкость.</li>
	<li>Использование природного стекла для смотрового окошка позволяет достичь оптимальной светопроницаемости и максимальной поверхностной твердости.</li>
</ul>";K0246.34034;34,5;G3/4;17,5;12;10;32;24;20;30;2667,11;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0246_маслоуказатели_резьбовые_из_алюминия_со_стеклом_table_1.png"" style=""width: 790px;""></p><span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Корпус и рефлектор из алюминия.</li>
	<li>Смотровое окошко из прозрачного натурального стекла.</li>
	<li>Внутреннее уплотнение Viton®.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Маслоуказатели плоские.</li>
	<li>Уплотнение безасбестовое.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Резьбовые маслоуказатели хорошо подходят для компрессоров, станков (в том числе и токарных) и гидравлических баков.</li>
	<li>Смотровое стекло термостабильное до температуры 150 °C.</li>
	<li>Высокое сопротивление давлению и теплостойкость.</li>
	<li>Использование природного стекла для смотрового окошка позволяет достичь оптимальной светопроницаемости и максимальной поверхностной твердости.</li>
</ul></span>"
K0246 Маслоуказатели резьбовые из алюминия со стеклом;https://alterv.ru/catalog/masloukazateli/k0246_masloukazateli_rezbovye_iz_alyuminiya_so_steklom/;https://alterv.ru/upload/iblock/6ee/6ee61fd2fe5c14e9f416bfff63c0ad55.png;https://alterv.ru/upload/iblock/6a7/Z28012_nn_ru.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Корпус и рефлектор из алюминия.</li>
	<li>Смотровое окошко из прозрачного натурального стекла.</li>
	<li>Внутреннее уплотнение Viton®.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Маслоуказатели плоские.</li>
	<li>Уплотнение безасбестовое.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Резьбовые маслоуказатели хорошо подходят для компрессоров, станков (в том числе и токарных) и гидравлических баков.</li>
	<li>Смотровое стекло термостабильное до температуры 150 °C.</li>
	<li>Высокое сопротивление давлению и теплостойкость.</li>
	<li>Использование природного стекла для смотрового окошка позволяет достичь оптимальной светопроницаемости и максимальной поверхностной твердости.</li>
</ul>";K0246.42100;42,5;G1;23;12;10;40;-;20;Под заказ;3870,5;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0246_маслоуказатели_резьбовые_из_алюминия_со_стеклом_table_1.png"" style=""width: 790px;""></p><span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Корпус и рефлектор из алюминия.</li>
	<li>Смотровое окошко из прозрачного натурального стекла.</li>
	<li>Внутреннее уплотнение Viton®.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Маслоуказатели плоские.</li>
	<li>Уплотнение безасбестовое.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Резьбовые маслоуказатели хорошо подходят для компрессоров, станков (в том числе и токарных) и гидравлических баков.</li>
	<li>Смотровое стекло термостабильное до температуры 150 °C.</li>
	<li>Высокое сопротивление давлению и теплостойкость.</li>
	<li>Использование природного стекла для смотрового окошка позволяет достичь оптимальной светопроницаемости и максимальной поверхностной твердости.</li>
</ul></span>"
K0246 Маслоуказатели резьбовые из алюминия со стеклом;https://alterv.ru/catalog/masloukazateli/k0246_masloukazateli_rezbovye_iz_alyuminiya_so_steklom/;https://alterv.ru/upload/iblock/6ee/6ee61fd2fe5c14e9f416bfff63c0ad55.png;https://alterv.ru/upload/iblock/6a7/Z28012_nn_ru.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Корпус и рефлектор из алюминия.</li>
	<li>Смотровое окошко из прозрачного натурального стекла.</li>
	<li>Внутреннее уплотнение Viton®.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Маслоуказатели плоские.</li>
	<li>Уплотнение безасбестовое.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Резьбовые маслоуказатели хорошо подходят для компрессоров, станков (в том числе и токарных) и гидравлических баков.</li>
	<li>Смотровое стекло термостабильное до температуры 150 °C.</li>
	<li>Высокое сопротивление давлению и теплостойкость.</li>
	<li>Использование природного стекла для смотрового окошка позволяет достичь оптимальной светопроницаемости и максимальной поверхностной твердости.</li>
</ul>";K0246.423315;42,5;M33x1,5;23;12;10;40;-;20;563;3870,5;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0246_маслоуказатели_резьбовые_из_алюминия_со_стеклом_table_1.png"" style=""width: 790px;""></p><span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Корпус и рефлектор из алюминия.</li>
	<li>Смотровое окошко из прозрачного натурального стекла.</li>
	<li>Внутреннее уплотнение Viton®.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Маслоуказатели плоские.</li>
	<li>Уплотнение безасбестовое.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Резьбовые маслоуказатели хорошо подходят для компрессоров, станков (в том числе и токарных) и гидравлических баков.</li>
	<li>Смотровое стекло термостабильное до температуры 150 °C.</li>
	<li>Высокое сопротивление давлению и теплостойкость.</li>
	<li>Использование природного стекла для смотрового окошка позволяет достичь оптимальной светопроницаемости и максимальной поверхностной твердости.</li>
</ul></span>"
A52301 Маслоуказатели резьбовые плоские из пластика;https://alterv.ru/catalog/masloukazateli/a52301_masloukazateli_rezbovye_ploskie_iz_plastika/;https://alterv.ru/upload/iblock/62c/tsz46bhqpbid3fep3qfohix2n4q2gsow/a52301_masloukazateli_rezbovye.png;https://alterv.ru/upload/iblock/0df/4conkbsc7leo342b4s94onba2xfgeaui/a52301_masloukazateli_rezbovye_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из пластика.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Резьбовые маслоуказатели хорошо подходят для компрессоров, станков (в том числе и токарных) и гидравлических баков.</li>
</ul>";A52301.011622M;22;M16x1,5;10;;;17;;;178;95,73;17;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a52301_маслоуказатели_резьбовые_плоские_из_пластика_table_1.png"" style=""width: 400px;""></p><span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из пластика.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Резьбовые маслоуказатели хорошо подходят для компрессоров, станков (в том числе и токарных) и гидравлических баков.</li>
</ul></span>"
A52301 Маслоуказатели резьбовые плоские из пластика;https://alterv.ru/catalog/masloukazateli/a52301_masloukazateli_rezbovye_ploskie_iz_plastika/;https://alterv.ru/upload/iblock/62c/tsz46bhqpbid3fep3qfohix2n4q2gsow/a52301_masloukazateli_rezbovye.png;https://alterv.ru/upload/iblock/0df/4conkbsc7leo342b4s94onba2xfgeaui/a52301_masloukazateli_rezbovye_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из пластика.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Резьбовые маслоуказатели хорошо подходят для компрессоров, станков (в том числе и токарных) и гидравлических баков.</li>
</ul>";A52301.013822T;22;G3/8;10;;;17;;;1500;95,73;17;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/a52301_маслоуказатели_резьбовые_плоские_из_пластика_table_1.png"" style=""width: 400px;""></p><span style=""font-family: 'Open Sans', sans-serif;""><h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из пластика.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Резьбовые маслоуказатели хорошо подходят для компрессоров, станков (в том числе и токарных) и гидравлических баков.</li>
</ul></span>"
