Категория;URL товара;Бренд;Путь;Фото основные;Фото дополнительные;Применение HTML;Номер заказа;A (резьба);B;C;L;S;Подходит для трубы;Допустимая нагрузка макс., кг;Наличие, шт;Цена, руб. с НДС;D;H;L1;L2;A;E;G;K;P;Q;R;T;Форма;Исполнение;M;F;U;N;Расп. отв.;O;Количество крепежных отверстий;Момент затяжки винта S, Нм;F, кг;Mb, Нм;Mv, Нм;Материал;Обозначение;D1;D2;Мат. основы;J;P1;V1;Тип E;Ход;Ходовой винт;V2;M1;M2;M3;M4;M5;A1;I;W;Длина;Площадь сечения, см²;Периметр, мм;Вес примерный, кг/п.м.;Точность реза, мм;Минимальный размер реза, мм;Длина макс., мм;Наличие, м;Цена за метр, руб. с НДС;Стоимость реза, руб. с НДС;Стоимость хлыста, руб. с НДС;T1;Описание
K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/catalog/zaglushki_dlya_profilnykh_trub/k0430_vstavki_rezbovye_dlya_ustanovki_opor_na_kvadratnye_truby/;Kipp;Главная > Каталог > Промышленная фурнитура > Компоненты конструкций из труб > Заглушки для профильных труб > K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/upload/iblock/763/7630a9c500bc69edceb64b1aa417e29d.png;https://alterv.ru/upload/iblock/51a/Z27835.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления <a target=""_blank"" href=""/catalog/opory/"">опор</a> на трубы с квадратным сечением.</li>
</ul>";K0430.103015;M10;30;27,5;33;27;30x30x1,5;509,86;32;572,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0430_zaglushki_rezbovye_dlya_kvadratnykh_profilnykh_trub_table_1.png"" style=""width: 751px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления опор на трубы с квадратным сечением.</li>
</ul></span>"
K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/catalog/zaglushki_dlya_profilnykh_trub/k0430_vstavki_rezbovye_dlya_ustanovki_opor_na_kvadratnye_truby/;Kipp;Главная > Каталог > Промышленная фурнитура > Компоненты конструкций из труб > Заглушки для профильных труб > K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/upload/iblock/763/7630a9c500bc69edceb64b1aa417e29d.png;https://alterv.ru/upload/iblock/51a/Z27835.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления <a target=""_blank"" href=""/catalog/opory/"">опор</a> на трубы с квадратным сечением.</li>
</ul>";K0430.103020;M10;30;26,5;33;27;30x30x2;509,86;37;572,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0430_zaglushki_rezbovye_dlya_kvadratnykh_profilnykh_trub_table_1.png"" style=""width: 751px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления опор на трубы с квадратным сечением.</li>
</ul></span>"
K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/catalog/zaglushki_dlya_profilnykh_trub/k0430_vstavki_rezbovye_dlya_ustanovki_opor_na_kvadratnye_truby/;Kipp;Главная > Каталог > Промышленная фурнитура > Компоненты конструкций из труб > Заглушки для профильных труб > K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/upload/iblock/763/7630a9c500bc69edceb64b1aa417e29d.png;https://alterv.ru/upload/iblock/51a/Z27835.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления <a target=""_blank"" href=""/catalog/opory/"">опор</a> на трубы с квадратным сечением.</li>
</ul>";K0430.104015;M10;40;37,5;43;35;40x40x1,5;815,77;18;605,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0430_zaglushki_rezbovye_dlya_kvadratnykh_profilnykh_trub_table_1.png"" style=""width: 751px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления опор на трубы с квадратным сечением.</li>
</ul></span>"
K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/catalog/zaglushki_dlya_profilnykh_trub/k0430_vstavki_rezbovye_dlya_ustanovki_opor_na_kvadratnye_truby/;Kipp;Главная > Каталог > Промышленная фурнитура > Компоненты конструкций из труб > Заглушки для профильных труб > K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/upload/iblock/763/7630a9c500bc69edceb64b1aa417e29d.png;https://alterv.ru/upload/iblock/51a/Z27835.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления <a target=""_blank"" href=""/catalog/opory/"">опор</a> на трубы с квадратным сечением.</li>
</ul>";K0430.104020;M10;40;36,5;43;35;40x40x2;1019,72;2;605,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0430_zaglushki_rezbovye_dlya_kvadratnykh_profilnykh_trub_table_1.png"" style=""width: 751px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления опор на трубы с квадратным сечением.</li>
</ul></span>"
K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/catalog/zaglushki_dlya_profilnykh_trub/k0430_vstavki_rezbovye_dlya_ustanovki_opor_na_kvadratnye_truby/;Kipp;Главная > Каталог > Промышленная фурнитура > Компоненты конструкций из труб > Заглушки для профильных труб > K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/upload/iblock/763/7630a9c500bc69edceb64b1aa417e29d.png;https://alterv.ru/upload/iblock/51a/Z27835.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления <a target=""_blank"" href=""/catalog/opory/"">опор</a> на трубы с квадратным сечением.</li>
</ul>";K0430.104025;M10;40;35,5;43;35;40x40x2,5;1019,72;Под заказ;1008,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0430_zaglushki_rezbovye_dlya_kvadratnykh_profilnykh_trub_table_1.png"" style=""width: 751px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления опор на трубы с квадратным сечением.</li>
</ul></span>"
K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/catalog/zaglushki_dlya_profilnykh_trub/k0430_vstavki_rezbovye_dlya_ustanovki_opor_na_kvadratnye_truby/;Kipp;Главная > Каталог > Промышленная фурнитура > Компоненты конструкций из труб > Заглушки для профильных труб > K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/upload/iblock/763/7630a9c500bc69edceb64b1aa417e29d.png;https://alterv.ru/upload/iblock/51a/Z27835.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления <a target=""_blank"" href=""/catalog/opory/"">опор</a> на трубы с квадратным сечением.</li>
</ul>";K0430.104030;M10;40;34,5;43;35;40x40x3;1019,72;Под заказ;1008,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0430_zaglushki_rezbovye_dlya_kvadratnykh_profilnykh_trub_table_1.png"" style=""width: 751px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления опор на трубы с квадратным сечением.</li>
</ul></span>"
K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/catalog/zaglushki_dlya_profilnykh_trub/k0430_vstavki_rezbovye_dlya_ustanovki_opor_na_kvadratnye_truby/;Kipp;Главная > Каталог > Промышленная фурнитура > Компоненты конструкций из труб > Заглушки для профильных труб > K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/upload/iblock/763/7630a9c500bc69edceb64b1aa417e29d.png;https://alterv.ru/upload/iblock/51a/Z27835.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления <a target=""_blank"" href=""/catalog/opory/"">опор</a> на трубы с квадратным сечением.</li>
</ul>";K0430.104040;M10;40;32,5;43;35;40x40x4;1019,72;Под заказ;1008,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0430_zaglushki_rezbovye_dlya_kvadratnykh_profilnykh_trub_table_1.png"" style=""width: 751px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления опор на трубы с квадратным сечением.</li>
</ul></span>"
K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/catalog/zaglushki_dlya_profilnykh_trub/k0430_vstavki_rezbovye_dlya_ustanovki_opor_na_kvadratnye_truby/;Kipp;Главная > Каталог > Промышленная фурнитура > Компоненты конструкций из труб > Заглушки для профильных труб > K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/upload/iblock/763/7630a9c500bc69edceb64b1aa417e29d.png;https://alterv.ru/upload/iblock/51a/Z27835.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления <a target=""_blank"" href=""/catalog/opory/"">опор</a> на трубы с квадратным сечением.</li>
</ul>";K0430.123015;M12;30;27,5;33;27;30x30x1,5;509,86;Под заказ;953,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0430_zaglushki_rezbovye_dlya_kvadratnykh_profilnykh_trub_table_1.png"" style=""width: 751px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления опор на трубы с квадратным сечением.</li>
</ul></span>"
K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/catalog/zaglushki_dlya_profilnykh_trub/k0430_vstavki_rezbovye_dlya_ustanovki_opor_na_kvadratnye_truby/;Kipp;Главная > Каталог > Промышленная фурнитура > Компоненты конструкций из труб > Заглушки для профильных труб > K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/upload/iblock/763/7630a9c500bc69edceb64b1aa417e29d.png;https://alterv.ru/upload/iblock/51a/Z27835.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления <a target=""_blank"" href=""/catalog/opory/"">опор</a> на трубы с квадратным сечением.</li>
</ul>";K0430.123020;M12;30;26,5;33;27;30x30x2;509,86;65;572,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0430_zaglushki_rezbovye_dlya_kvadratnykh_profilnykh_trub_table_1.png"" style=""width: 751px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления опор на трубы с квадратным сечением.</li>
</ul></span>"
K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/catalog/zaglushki_dlya_profilnykh_trub/k0430_vstavki_rezbovye_dlya_ustanovki_opor_na_kvadratnye_truby/;Kipp;Главная > Каталог > Промышленная фурнитура > Компоненты конструкций из труб > Заглушки для профильных труб > K0430 Заглушки резьбовые для квадратных профильных труб;https://alterv.ru/upload/iblock/763/7630a9c500bc69edceb64b1aa417e29d.png;https://alterv.ru/upload/iblock/51a/Z27835.jpg;"<h2><span style=""font-size: 13pt;"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления <a target=""_blank"" href=""/catalog/opory/"">опор</a> на трубы с квадратным сечением.</li>
</ul>";K0430.124015;M12;40;37,5;43;35;40x40x1,5;815,77;Под заказ;1008,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0430_zaglushki_rezbovye_dlya_kvadratnykh_profilnykh_trub_table_1.png"" style=""width: 751px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материал:</span></h2>
<ul>
	<li>Основа из термопласта армированного стекловолокном.</li>
	<li>Резьбовая втулка из латуни.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Основа черная.</li>
	<li>Втулка никелированная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указания по применению:</span></h2>
<ul>
	<li>Данные заглушки хорошо подходят для промышленного оборудования, производственных столов и мебели.</li>
	<li>Резьбовые заглушки используются для простого крепления опор на трубы с квадратным сечением.</li>
</ul></span>"
