Категория;URL товара;Бренд;Путь;Фото основные;Фото дополнительные;Применение HTML;Номер заказа;Мат. основы;A;B;C;D;E;Наличие, шт;Цена, руб. с НДС;D1;L;L1;L2;SW;Допустимая нагрузка макс. (только при статической нагрузке), кг;Форма;D2;SW1;Ø шарика;L3;Подходящий дисковый захват;D3;Материал комп.;G;F;Материал;L5;L4;Исполнение;D4;H1;H2;T1;Подходит для штифта DIN 6332;Подходит для нажимного винта;H;H3;S;F макс., кг;S макс.;Z2;Размер;Количество зубьев;A1;H4;X;T;Цвет комп.;T2;Крепежная сила, кг;Термостойкость макс., °C;H5;P;W;P1;Описание
150-623 Винты нажимные с конусным упором;https://alterv.ru/catalog/vinty_nazhimnye/150_623_vinty_nazhimnye_s_konusnym_uporom/;Kukamet;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > 150-623 Винты нажимные с конусным упором;https://alterv.ru/upload/iblock/c4d/5sadmb9wup8a3ibjx7ca75cq1kk45l7o/150_623_vinty_nazhimnye.png, https://alterv.ru/upload/iblock/ea8/r8t66jg4kmzkbci2g0e5rwhtc57fzymq/150_623_vinty_nazhimnye_s_konusnym_uporom.png;https://alterv.ru/upload/iblock/a7f/hgup3zsyh33uknhmjus9n2wr6c4or2eo/150_623_vinty_nazhimnye_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основа (на выбор): сталь высокого качества или нержавеющая сталь.</li>
	<li>Упор из нитрильного каучука (NBR).</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Винты нажимные подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/vertikalnye_zazhimy_i_prizhimy/222_moduli_prizhimnye_mekhanicheskie_s_zhestko_ustanovlennym_vintom/"">222 Механических прижимных модулей с жестко установленным винтом.</a></li>
</ul>";150-623;Сталь;M8x50;30;76;60;6,5;Под заказ;2436,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/150-623_vinty_nazhimnye_s_konusnym_uporom_table_1.png"" style=""width: 494px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Основа (на выбор): сталь высокого качества или нержавеющая сталь.</li>
	<li>Упор из нитрильного каучука (NBR).</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Винты нажимные подходят для:</span></h2>
<ul>
	<li>222 Механических прижимных модулей с жестко установленным винтом.</li>
</ul></span>"
150-623 Винты нажимные с конусным упором;https://alterv.ru/catalog/vinty_nazhimnye/150_623_vinty_nazhimnye_s_konusnym_uporom/;Kukamet;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > 150-623 Винты нажимные с конусным упором;https://alterv.ru/upload/iblock/c4d/5sadmb9wup8a3ibjx7ca75cq1kk45l7o/150_623_vinty_nazhimnye.png, https://alterv.ru/upload/iblock/ea8/r8t66jg4kmzkbci2g0e5rwhtc57fzymq/150_623_vinty_nazhimnye_s_konusnym_uporom.png;https://alterv.ru/upload/iblock/a7f/hgup3zsyh33uknhmjus9n2wr6c4or2eo/150_623_vinty_nazhimnye_chertezh.png;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Основа (на выбор): сталь высокого качества или нержавеющая сталь.</li>
	<li>Упор из нитрильного каучука (NBR).</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Винты нажимные подходят для:</span></h2>
<ul>
	<li><a target=""_blank"" href=""/catalog/vertikalnye_zazhimy_i_prizhimy/222_moduli_prizhimnye_mekhanicheskie_s_zhestko_ustanovlennym_vintom/"">222 Механических прижимных модулей с жестко установленным винтом.</a></li>
</ul>";S150-623;Нержавеющая сталь;M8x50;30;76;60;6,5;Под заказ;3248,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/150-623_vinty_nazhimnye_s_konusnym_uporom_table_1.png"" style=""width: 494px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Основа (на выбор): сталь высокого качества или нержавеющая сталь.</li>
	<li>Упор из нитрильного каучука (NBR).</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Сталь оцинкованная.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Винты нажимные подходят для:</span></h2>
<ul>
	<li>222 Механических прижимных модулей с жестко установленным винтом.</li>
</ul></span>"
K0272 Винты нажимные с острым концом;https://alterv.ru/catalog/vinty_nazhimnye/k0272_vinty_nazhimnye_s_ostrym_kontsom/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0272 Винты нажимные с острым концом;https://alterv.ru/upload/iblock/a7f/k0272_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/27c/k0272_vinty_sboku.jpg, https://alterv.ru/upload/iblock/8d7/k0272_vinty_sverhu.jpg;https://alterv.ru/upload/iblock/bfa/Z07122_Druckschrauben_mit_Spitze_Thrust_screws_with_point.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul>";K0272.05X09;;;;;M5;;Под заказ;509,13;3;8,5;0,5;1,3;2,5;458,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0272_vinty_nazhimnye_s_ostrym_kontsom_table_1.png"" style=""width: 834px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul></span>"
K0272 Винты нажимные с острым концом;https://alterv.ru/catalog/vinty_nazhimnye/k0272_vinty_nazhimnye_s_ostrym_kontsom/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0272 Винты нажимные с острым концом;https://alterv.ru/upload/iblock/a7f/k0272_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/27c/k0272_vinty_sboku.jpg, https://alterv.ru/upload/iblock/8d7/k0272_vinty_sverhu.jpg;https://alterv.ru/upload/iblock/bfa/Z07122_Druckschrauben_mit_Spitze_Thrust_screws_with_point.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul>";K0272.05X13;;;;;M5;;Под заказ;509,13;3;12,5;0,5;1,3;2,5;458,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0272_vinty_nazhimnye_s_ostrym_kontsom_table_1.png"" style=""width: 834px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul></span>"
K0272 Винты нажимные с острым концом;https://alterv.ru/catalog/vinty_nazhimnye/k0272_vinty_nazhimnye_s_ostrym_kontsom/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0272 Винты нажимные с острым концом;https://alterv.ru/upload/iblock/a7f/k0272_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/27c/k0272_vinty_sboku.jpg, https://alterv.ru/upload/iblock/8d7/k0272_vinty_sverhu.jpg;https://alterv.ru/upload/iblock/bfa/Z07122_Druckschrauben_mit_Spitze_Thrust_screws_with_point.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul>";K0272.05X17;;;;;M5;;Под заказ;518,38;3;16,5;0,5;1,3;2,5;458,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0272_vinty_nazhimnye_s_ostrym_kontsom_table_1.png"" style=""width: 834px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul></span>"
K0272 Винты нажимные с острым концом;https://alterv.ru/catalog/vinty_nazhimnye/k0272_vinty_nazhimnye_s_ostrym_kontsom/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0272 Винты нажимные с острым концом;https://alterv.ru/upload/iblock/a7f/k0272_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/27c/k0272_vinty_sboku.jpg, https://alterv.ru/upload/iblock/8d7/k0272_vinty_sverhu.jpg;https://alterv.ru/upload/iblock/bfa/Z07122_Druckschrauben_mit_Spitze_Thrust_screws_with_point.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul>";K0272.05X21;;;;;M5;;10;527,65;3;20,5;0,5;1,3;2,5;458,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0272_vinty_nazhimnye_s_ostrym_kontsom_table_1.png"" style=""width: 834px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul></span>"
K0272 Винты нажимные с острым концом;https://alterv.ru/catalog/vinty_nazhimnye/k0272_vinty_nazhimnye_s_ostrym_kontsom/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0272 Винты нажимные с острым концом;https://alterv.ru/upload/iblock/a7f/k0272_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/27c/k0272_vinty_sboku.jpg, https://alterv.ru/upload/iblock/8d7/k0272_vinty_sverhu.jpg;https://alterv.ru/upload/iblock/bfa/Z07122_Druckschrauben_mit_Spitze_Thrust_screws_with_point.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul>";K0272.06X14;;;;;M6;;Под заказ;527,65;4;13,5;0,8;1,9;3;917,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0272_vinty_nazhimnye_s_ostrym_kontsom_table_1.png"" style=""width: 834px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul></span>"
K0272 Винты нажимные с острым концом;https://alterv.ru/catalog/vinty_nazhimnye/k0272_vinty_nazhimnye_s_ostrym_kontsom/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0272 Винты нажимные с острым концом;https://alterv.ru/upload/iblock/a7f/k0272_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/27c/k0272_vinty_sboku.jpg, https://alterv.ru/upload/iblock/8d7/k0272_vinty_sverhu.jpg;https://alterv.ru/upload/iblock/bfa/Z07122_Druckschrauben_mit_Spitze_Thrust_screws_with_point.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul>";K0272.06X18;;;;;M6;;Под заказ;527,65;4;17,5;0,8;1,9;3;917,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0272_vinty_nazhimnye_s_ostrym_kontsom_table_1.png"" style=""width: 834px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul></span>"
K0272 Винты нажимные с острым концом;https://alterv.ru/catalog/vinty_nazhimnye/k0272_vinty_nazhimnye_s_ostrym_kontsom/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0272 Винты нажимные с острым концом;https://alterv.ru/upload/iblock/a7f/k0272_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/27c/k0272_vinty_sboku.jpg, https://alterv.ru/upload/iblock/8d7/k0272_vinty_sverhu.jpg;https://alterv.ru/upload/iblock/bfa/Z07122_Druckschrauben_mit_Spitze_Thrust_screws_with_point.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul>";K0272.06X22;;;;;M6;;Под заказ;532,28;4;21,5;0,8;1,9;3;917,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0272_vinty_nazhimnye_s_ostrym_kontsom_table_1.png"" style=""width: 834px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul></span>"
K0272 Винты нажимные с острым концом;https://alterv.ru/catalog/vinty_nazhimnye/k0272_vinty_nazhimnye_s_ostrym_kontsom/;Kipp;Главная > Каталог > Промышленная фурнитура > Упоры и нажимные винты > Винты нажимные > K0272 Винты нажимные с острым концом;https://alterv.ru/upload/iblock/a7f/k0272_vinty_nazhimnye.jpg, https://alterv.ru/upload/iblock/27c/k0272_vinty_sboku.jpg, https://alterv.ru/upload/iblock/8d7/k0272_vinty_sverhu.jpg;https://alterv.ru/upload/iblock/bfa/Z07122_Druckschrauben_mit_Spitze_Thrust_screws_with_point.jpg;"<h2><span style=""font-size: 13pt;"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt;"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul>";K0272.06X27;;;;;M6;;Под заказ;560,05;4;26,5;0,8;1,9;3;917,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<p><img src=""https://promfurnitura.by/image/catalog/prom-furnitura/zamki/k0272_vinty_nazhimnye_s_ostrym_kontsom_table_1.png"" style=""width: 834px""></p><span style=""font-family: 'Open Sans', sans-serif""><h2><span style=""font-size: 13pt"">Материалы:</span></h2>
<ul>
	<li>Корпус из стали класса прочности 10.9.</li>
	<li>Вставка из инструментальной стали.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Исполнение:</span></h2>
<ul>
	<li>Корпус закаленный.</li>
	<li>Корпус и вставка вороненные.</li>
</ul>
<hr>
<h2><span style=""font-size: 13pt"">Указание по применению:</span></h2>
<ul>
	<li>Нажимные винты с острым концом хорошо подходят для применения в случаях когда требуется дополнительная фиксация.</li>
</ul></span>"
